date,distance_from_estuary_km,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed
2022-08-30,0.5,1178.0,55.0,True,False,True
2022-08-30,1.0,452.0,38.0,False,False,False
2022-09-26,0.0,262.0,66.0,False,False,False
2022-09-26,0.5,798.0,445.0,True,True,True
2022-09-26,1.0,98.0,0.0,False,False,False
2023-06-07,0.0,0.0,0.0,False,False,False
2023-06-07,0.5,1658.0,930.0,True,True,True
2023-06-07,1.0,0.0,5.0,False,False,False
2023-07-04,0.0,269.0,151.0,False,True,True
2023-07-04,0.5,345.0,155.0,False,True,True
2023-07-19,0.0,3130.0,2053.0,True,True,True
2023-07-19,0.5,4106.0,2442.0,True,True,True
2023-07-27,0.0,6488.0,3635.0,True,True,True
2023-07-27,0.5,6867.0,5600.0,True,True,True
2023-08-01,0.0,4352.0,230.0,True,True,True
2023-08-01,0.5,862.0,196.0,True,True,True
2023-08-08,0.0,96.0,73.0,False,False,False
2023-08-08,0.5,158.0,157.0,False,True,True
2023-08-16,0.0,571.0,260.0,True,True,True
2023-08-16,0.5,243.0,144.0,False,True,True
2023-08-23,0.0,565.0,61.0,True,False,True
2023-08-23,0.5,10.0,10.0,False,False,False
2023-08-28,0.0,3282.0,382.0,True,True,True
2023-08-28,0.5,3654.0,456.0,True,True,True
2023-09-06,0.0,581.0,93.0,True,False,True
2023-09-06,0.5,404.0,77.0,False,False,False
2023-09-12,0.0,1529.0,78.0,True,False,True
2023-09-12,0.5,1670.0,84.0,True,False,True
2023-10-06,0.0,10.0,5.0,False,False,False
2023-10-06,0.5,10.0,5.0,False,False,False
2024-06-07,0.0,0.0,0.0,False,False,False
2024-06-07,0.5,0.0,0.0,False,False,False
2024-06-07,1.0,0.0,0.0,False,False,False
2024-07-18,0.0,63.0,49.0,False,False,False
2024-07-18,0.5,31.0,0.0,False,False,False
2024-07-18,1.0,52.0,43.0,False,False,False
2024-07-31,0.0,0.0,0.0,False,False,False
2024-07-31,0.5,0.0,0.0,False,False,False
2024-07-31,1.0,0.0,0.0,False,False,False
2024-08-14,0.0,0.0,0.0,False,False,False
2024-08-14,0.5,0.0,5.0,False,False,False
2024-08-14,1.0,0.0,0.0,False,False,False
2024-08-27,0.0,504.0,80.0,True,False,True
2024-08-27,0.5,479.0,72.0,False,False,False
2024-08-27,1.0,122.0,10.0,False,False,False
2024-09-20,0.0,488.0,55.0,False,False,False
2024-09-20,0.5,754.0,322.0,True,True,True
2024-09-20,1.0,173.0,15.0,False,False,False
2025-06-13,0.0,146.0,5.0,False,False,False
2025-06-13,0.5,95.0,5.0,False,False,False
2025-06-13,1.0,86.0,5.0,False,False,False
2025-07-03,0.0,0.0,5.0,False,False,False
2025-07-03,0.5,0.0,0.0,False,False,False
2025-07-03,1.0,0.0,0.0,False,False,False
2025-07-17,0.0,465.0,55.0,False,False,False
2025-07-17,0.5,339.0,114.0,False,True,True
2025-07-17,1.0,683.0,123.0,True,True,True
2025-07-22,0.0,31.0,26.0,False,False,False
2025-07-22,0.5,41.0,66.0,False,False,False
2025-07-22,1.0,110.0,54.0,False,False,False
2025-07-30,0.0,31.0,10.0,False,False,False
