date,visitor_count
2020-08-06,72000
2020-08-07,63000
2020-08-08,5400
2020-08-09,144000
2020-08-10,3600
2020-08-11,54000
2020-08-12,45000
2020-08-13,98100
2020-08-14,126000
2020-08-15,213300
2020-08-16,216000
2020-08-17,117000
2020-08-18,23400
2020-08-19,35100
2020-08-20,25320
2020-08-21,1500
2020-08-22,9900
2020-08-23,12000
2020-08-24,3600
2020-08-25,1800
2020-08-26,1500
2020-08-27,1800
2020-08-28,1500
2020-08-29,2400
2020-08-30,2300
2020-08-31,1700
2021-06-01,0
2021-06-02,0
2021-06-03,0
2021-06-04,0
2021-06-05,0
2021-06-06,0
2021-06-07,0
2021-06-08,0
2021-06-09,0
2021-06-10,0
2021-06-11,0
2021-06-12,0
2021-06-13,0
2021-06-14,0
2021-06-15,0
2021-06-16,0
2021-06-17,0
2021-06-18,0
2021-06-19,0
2021-06-20,0
2021-06-21,0
2021-06-22,0
2021-06-23,0
2021-06-24,0
2021-06-25,0
2021-06-26,0
2021-06-27,0
2021-06-28,0
2021-06-29,0
2021-06-30,0
2021-07-01,24248
2021-07-02,25543
2021-07-03,14782
2021-07-04,26642
2021-07-05,26498
2021-07-06,8476
2021-07-07,3412
2021-07-08,14711
2021-07-09,22910
2021-07-10,30780
2021-07-11,40024
2021-07-12,15442
2021-07-13,19400
2021-07-14,14702
2021-07-15,13271
2021-07-16,22536
2021-07-17,43628
2021-07-18,54454
2021-07-19,39314
2021-07-20,22380
2021-07-21,20600
2021-07-22,23710
2021-07-23,21770
2021-07-24,25460
2021-07-25,26624
2021-07-26,18823
2021-07-27,17747
2021-07-28,21300
2021-07-29,21674
2021-07-30,20852
2021-07-31,25570
2021-08-01,31245
2021-08-02,36816
2021-08-03,28190
2021-08-04,29752
2021-08-05,21776
2021-08-06,25465
2021-08-07,34832
2021-08-08,36820
2021-08-09,62340
2021-08-10,27683
2021-08-11,9634
2021-08-12,28870
2021-08-13,11572
2021-08-14,10500
2021-08-15,28740
2021-08-16,6532
2021-08-17,5117
2021-08-18,4518
2021-08-19,6162
2021-08-20,5702
2021-08-21,2317
2021-08-22,18430
2021-08-23,1419
2021-08-24,1329
2021-08-25,1523
2021-08-26,1827
2021-08-27,2719
2021-08-28,4562
2021-08-29,6971
2021-08-30,4912
2021-08-31,4456
2022-07-01,34865
2022-07-02,87370
2022-07-03,74135
2022-07-04,51407
2022-07-05,50985
2022-07-06,50411
2022-07-07,49809
2022-07-08,51741
2022-07-09,80181
2022-07-10,75156
2022-07-11,41844
2022-07-12,49038
2022-07-13,47619
2022-07-14,46599
2022-07-15,54440
2022-07-16,74974
2022-07-17,68773
2022-07-18,36208
2022-07-19,47588
2022-07-20,51662
2022-07-21,49311
2022-07-22,58139
2022-07-23,79045
2022-07-24,65911
2022-07-25,57641
2022-07-26,56146
2022-07-27,58303
2022-07-28,60008
2022-07-29,65384
2022-07-30,88782
2022-07-31,73893
2022-08-01,70855
2022-08-02,63333
2022-08-03,62439
2022-08-04,61685
2022-08-05,62213
2022-08-06,81151
2022-08-07,69252
2022-08-08,57570
2022-08-09,57083
2022-08-10,54801
2022-08-11,49804
2022-08-12,95486
2022-08-13,117997
2022-08-14,119227
2022-08-15,102865
2022-08-16,52299
2022-08-17,65008
2022-08-18,79622
2022-08-19,82627
2022-08-20,88637
2022-08-21,102675
2022-08-22,81965
2022-08-23,74390
2022-08-24,65640
2022-08-25,78676
2022-08-26,81859
2022-08-27,116293
2022-08-28,103742
2022-08-29,77501
2022-08-30,61376
2022-08-31,32904
2023-07-01,109177
2023-07-02,82558
2023-07-03,38366
2023-07-04,21806
2023-07-05,32312
2023-07-06,37533
2023-07-07,24338
2023-07-08,45156
2023-07-09,56353
2023-07-10,22590
2023-07-11,18183
2023-07-12,28040
2023-07-13,21976
2023-07-14,21262
2023-07-15,51990
2023-07-16,21069
2023-07-17,28621
2023-07-18,15048
2023-07-19,29433
2023-07-20,30754
2023-07-21,36642
2023-07-22,62930
2023-07-23,53156
2023-07-24,36924
2023-07-25,50664
2023-07-26,55373
2023-07-27,49529
2023-07-28,64958
2023-07-29,141914
2023-07-30,120058
2023-07-31,95208
2023-08-01,95258
2023-08-02,91477
2023-08-03,69265
2023-08-04,93598
2023-08-05,129287
2023-08-06,97275
2023-08-07,76901
2023-08-08,40139
2023-08-09,18260
2023-08-10,18938
2023-08-11,80987
2023-08-12,167196
2023-08-13,151056
2023-08-14,120381
2023-08-15,122816
2023-08-16,89237
2023-08-17,87056
2023-08-18,90824
2023-08-19,98305
2023-08-20,113593
2023-08-21,86168
2023-08-22,90584
2023-08-23,80689
2023-08-24,63162
2023-08-25,93804
2023-08-26,143958
2023-08-27,122767
2023-08-28,82069
2023-08-29,63743
2023-08-30,71613
2023-08-31,63573
