date,examinLcDetail,ecoli_max,enterococcus_max
2022-08-16,A,332.0,5.0
2022-08-16,B,199.0,16.0
2022-08-16,C,63.0,21.0
2022-08-16,D,108.0,37.0
2022-08-16,E,121.0,5.0
2022-08-30,A,1.0,10.0
2022-08-30,B,1.0,5.0
2022-08-30,C,10.0,5.0
2022-08-30,D,10.0,10.0
2022-08-30,E,20.0,1.0
2022-09-26,A,1.0,10.0
2022-09-26,B,1.0,1.0
2022-09-26,C,1.0,5.0
2022-09-26,D,1.0,1.0
2022-09-26,E,10.0,49.0
2023-05-12,A,10.0,16.0
2023-05-12,B,1.0,1.0
2023-05-12,C,63.0,5.0
2023-05-12,D,41.0,1.0
2023-05-12,E,52.0,1.0
2023-06-07,A,20.0,10.0
2023-06-07,B,52.0,5.0
2023-06-07,C,1.0,1.0
2023-06-07,D,31.0,1.0
2023-06-07,E,1.0,1.0
2023-06-20,A,10.0,1.0
2023-06-20,B,1.0,1.0
2023-06-20,C,41.0,5.0
2023-06-20,D,1.0,1.0
2023-06-20,E,63.0,1.0
2023-07-04,A,31.0,1.0
2023-07-04,B,10.0,5.0
2023-07-04,C,41.0,1.0
2023-07-04,D,31.0,5.0
2023-07-04,E,31.0,21.0
2023-07-27,A,63.0,5.0
2023-07-27,B,10.0,5.0
2023-07-27,C,10.0,1.0
2023-07-27,D,10.0,1.0
2023-07-27,E,10.0,1.0
2023-08-01,A,1.0,1.0
2023-08-01,B,1.0,5.0
2023-08-01,C,1.0,1.0
2023-08-01,D,1.0,1.0
2023-08-01,E,1.0,5.0
2023-08-08,A,1.0,5.0
2023-08-08,B,1.0,1.0
2023-08-08,C,1.0,5.0
2023-08-08,D,1.0,5.0
2023-08-08,E,1.0,1.0
2024-05-03,A,1.0,1.0
2024-05-03,B,1.0,1.0
2024-05-03,C,1.0,1.0
2024-05-03,D,1.0,5.0
2024-05-03,E,1.0,5.0
2024-06-03,A,173.0,228.0
2024-06-03,B,1.0,1.0
2024-06-03,C,10.0,5.0
2024-06-03,D,1.0,5.0
2024-06-03,E,1.0,1.0
2024-06-17,A,1.0,1.0
2024-06-17,B,1.0,10.0
2024-06-17,C,1.0,5.0
2024-06-17,D,10.0,1.0
2024-06-17,E,1.0,20.0
2024-06-26,A,10.0,5.0
2024-06-26,B,10.0,1.0
2024-06-26,C,40.0,1.0
2024-06-26,D,31.0,1.0
2024-06-26,E,1.0,5.0
2024-07-08,A,86.0,16.0
2024-07-08,B,31.0,26.0
2024-07-08,C,10.0,10.0
2024-07-08,D,10.0,1.0
2024-07-08,E,1.0,1.0
2024-07-22,A,1.0,5.0
2024-07-22,B,10.0,10.0
2024-07-22,C,1.0,5.0
2024-07-22,D,10.0,5.0
2024-07-22,E,10.0,5.0
2024-08-05,B,1.0,1.0
2024-08-05,C,1.0,1.0
2024-08-05,D,10.0,16.0
2024-08-05,E,52.0,16.0
2024-08-06,A,1.0,1.0
2024-08-19,A,1.0,10.0
2024-08-19,B,1.0,10.0
2024-08-19,C,1.0,5.0
2024-08-19,D,1.0,1.0
2024-08-19,E,31.0,1.0
2024-09-06,A,20.0,5.0
2024-09-06,B,20.0,5.0
2024-09-06,C,1.0,1.0
2024-09-06,D,10.0,1.0
2024-09-06,E,1.0,1.0
2025-06-11,A-1,10.0,5.0
2025-06-11,A-2,1.0,1.0
2025-06-11,B-1,1.0,1.0
2025-06-11,B-2,1.0,5.0
2025-06-11,C-1,1.0,1.0
2025-06-11,C-2,10.0,5.0
2025-06-11,D-1,1.0,1.0
2025-06-11,D-2,1.0,1.0
2025-06-11,E-1,1.0,1.0
2025-06-11,E-2,1.0,1.0
2025-06-30,A-1,31.0,1.0
2025-06-30,A-2,52.0,1.0
2025-06-30,B-1,41.0,5.0
2025-06-30,B-2,171.0,1.0
2025-06-30,C-1,20.0,1.0
2025-06-30,C-2,41.0,1.0
2025-06-30,D-1,31.0,10.0
2025-06-30,D-2,41.0,1.0
2025-06-30,E-1,30.0,1.0
2025-06-30,E-2,41.0,1.0
2025-07-14,A-1,5.0,1.0
2025-07-14,A-2,1.0,1.0
2025-07-14,B-1,5.0,1.0
2025-07-14,B-2,10.0,1.0
2025-07-14,C-1,1.0,1.0
2025-07-14,C-2,1.0,5.0
2025-07-14,D-1,1.0,1.0
2025-07-14,D-2,1.0,5.0
2025-07-14,E-1,1.0,10.0
2025-07-14,E-2,1.0,1.0
2025-07-28,A-1,1.0,10.0
2025-07-28,A-2,20.0,1.0
2025-07-28,B-1,1.0,1.0
2025-07-28,B-2,10.0,15.0
2025-07-28,C-1,10.0,5.0
2025-07-28,C-2,10.0,5.0
2025-07-28,D-1,1.0,5.0
2025-07-28,D-2,1.0,16.0
2025-07-28,E-1,1.0,1.0
2025-07-28,E-2,1.0,1.0
2025-08-11,A-1,41.0,5.0
2025-08-11,A-2,52.0,1.0
2025-08-11,B-1,110.0,10.0
2025-08-11,B-2,98.0,5.0
2025-08-11,C-1,63.0,5.0
2025-08-11,C-2,63.0,16.0
2025-08-11,D-1,52.0,5.0
2025-08-11,D-2,74.0,10.0
2025-08-11,E-1,109.0,21.0
2025-08-11,E-2,52.0,21.0
2025-08-25,A-1,20.0,1.0
2025-08-25,A-2,31.0,5.0
2025-08-25,B-1,20.0,5.0
2025-08-25,B-2,41.0,1.0
2025-08-25,C-1,63.0,1.0
2025-08-25,C-2,74.0,5.0
2025-08-25,D-1,108.0,1.0
2025-08-25,D-2,52.0,1.0
2025-08-25,E-1,20.0,1.0
2025-08-25,E-2,10.0,5.0
2025-09-08,A-1,10.0,1.0
2025-09-08,A-2,20.0,1.0
2025-09-08,B-1,20.0,10.0
2025-09-08,B-2,10.0,5.0
2025-09-08,C-1,10.0,1.0
2025-09-08,C-2,1.0,1.0
2025-09-08,D-1,10.0,1.0
2025-09-08,D-2,10.0,1.0
2025-09-08,E-1,10.0,5.0
2025-09-08,E-2,1.0,1.0
2026-06-18,A-1,1.0,1.0
2026-06-18,A-2,1.0,1.0
2026-06-18,B-1,1.0,1.0
2026-06-18,B-2,1.0,1.0
2026-06-18,C-1,1.0,1.0
2026-06-18,C-2,1.0,5.0
2026-06-18,D-1,1.0,1.0
2026-06-18,D-2,1.0,1.0
2026-06-18,E-1,10.0,1.0
2026-06-18,E-2,20.0,1.0
2026-07-01,A-1,1.0,5.0
2026-07-01,A-2,20.0,1.0
2026-07-01,B-1,1.0,1.0
2026-07-01,B-2,1.0,1.0
2026-07-01,C-1,1.0,539.0
2026-07-01,C-2,10.0,48.0
2026-07-01,D-1,1.0,5.0
2026-07-01,D-2,1.0,1.0
2026-07-01,E-1,1.0,20.0
2026-07-01,E-2,1.0,489.0
2026-07-14,A-1,1.0,1.0
2026-07-14,A-2,1.0,1.0
2026-07-14,B-1,10.0,1.0
2026-07-14,B-2,1.0,1.0
2026-07-14,C-1,1.0,1.0
2026-07-14,C-2,1.0,1.0
2026-07-14,D-1,1.0,1.0
2026-07-14,D-2,1.0,5.0
2026-07-14,E-1,1.0,5.0
2026-07-14,E-2,1.0,1.0
