date,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m)
2023-04-18,,,30.686666666666664,147.02592592592592,14.182222222222222,,2.0,,3.0,,12.2,233.95238095238096,15.861172161172162,1013.1435897435898,
2023-04-19,,,34.309893992932864,153.14487632508835,14.242049469964664,,1.5,,2.5,,7.7,119.92932862190813,15.412367491166076,1011.1982332155476,
2023-04-20,,,39.58678571428571,148.74642857142857,14.391428571428571,,0.9,,1.4,,7.8,235.13571428571427,16.818214285714287,1009.0696428571429,
2023-04-21,,,35.556338028169016,178.98591549295776,14.22394366197183,,2.6,,4.3,,15.2,58.46830985915493,15.304225352112676,1011.9538732394367,
2023-04-22,,,32.11087719298246,175.68421052631578,14.861052631578946,,2.9,,4.3,,13.0,64.10877192982456,14.015438596491228,1019.8901754385965,
2023-04-23,,,54.1,55.0,14.7,,2.4,,3.2,,10.1,68.0,13.4,1022.2,
2023-04-24,,,25.97385159010601,164.4558303886926,14.88904593639576,,2.2,,3.6,,9.7,68.28975265017668,14.259363957597174,1024.4257246376812,
2023-04-25,,,24.03321554770318,157.4558303886926,14.833450704225351,,1.7,,2.5,,8.0,85.11971830985915,11.939436619718311,1015.7408450704227,
2023-04-26,,,22.1260162601626,116.26422764227642,14.845714285714287,,1.4,,2.1,,9.6,165.0,13.68658536585366,1012.3365853658536,
2023-04-27,,,17.51083916083916,93.9055944055944,14.997902097902097,,1.1,,1.7,,6.2,144.46153846153845,14.525174825174824,1020.6601398601398,
2023-04-28,,,18.167375886524823,81.7127659574468,15.136170212765956,,0.7,,1.0,,8.3,238.4078014184397,15.645035460992906,1018.4336879432624,
2023-04-29,,,21.79581881533101,55.52264808362369,15.142160278745646,,1.8,,2.5,,11.2,243.71428571428572,16.17491289198606,1008.0418118466899,
2023-04-30,,,11.185135135135136,112.8108108108108,14.843243243243245,,0.9,,1.6,,7.9,284.2432432432432,13.971621621621622,1008.3675675675676,
2023-05-01,,,21.222299651567944,107.58188153310104,14.757839721254355,,1.0,,1.7,,10.2,240.57839721254356,15.470034843205573,1016.0731707317074,
2023-05-02,,,22.709893992932862,138.29681978798587,14.755830388692578,,0.8,,1.2,,4.1,233.6077738515901,9.939473684210526,1023.853003533569,
2023-05-03,,,24.762020905923343,131.14634146341464,14.629268292682928,,0.6,,1.1,,7.3,245.76306620209058,5.544262295081967,1022.9567944250871,
2023-05-04,,,31.123404255319148,145.89361702127658,14.5135231316726,,1.3,,2.0,,8.2,237.83333333333334,,1017.7021276595744,
2023-05-05,,,29.05528169014085,134.25352112676057,14.529577464788732,,3.3,,4.7,,14.5,217.92253521126761,,1007.8010563380282,
2023-05-06,,,32.48158844765343,164.60649819494586,14.435018050541517,,3.3,,4.7,,12.9,93.55035971223022,14.656818181818181,1006.6043165467626,
2023-05-07,,,33.98374558303887,177.26855123674912,14.280918727915195,,2.9,,4.4,,14.9,39.70774647887324,12.764673913043477,1010.3531690140844,
2023-05-08,,,32.512367491166074,170.97879858657245,14.355123674911662,,3.3,,4.4,,11.2,56.73851590106007,13.879858657243815,1015.9512367491167,
2023-05-09,,,32.0756183745583,151.5512367491166,14.686219081272084,,1.1,,1.9,,6.8,262.11660777385157,14.783038869257952,1016.2307420494699,
2023-05-10,,,30.87288732394366,139.98239436619718,15.034507042253521,,0.8,,1.2,,5.2,115.32042253521126,16.463380281690142,1016.293661971831,
2023-05-11,,,28.438297872340428,108.40425531914893,15.60177304964539,,1.3,,2.0,,9.1,40.8758865248227,15.86631205673759,1019.7042553191488,
2023-05-12,,,29.820588235294117,69.05882352941177,15.666666666666666,,1.3,,2.0,,11.9,132.25641025641025,15.143356643356643,1018.2456521739131,
2023-05-13,,,30.259154929577463,70.03755868544602,,,0.9,,1.4,,5.1,89.72689075630252,14.06969696969697,1014.3949367088608,
2023-05-14,,,25.42488038277512,100.37619047619047,,,1.1,,1.9,,6.1,250.92376681614348,15.816591928251121,1009.8707207207207,
2023-05-15,,,23.065909090909088,147.12878787878788,,,0.5,,0.8,,7.1,230.03571428571428,15.992142857142857,1009.5827338129496,
2023-05-16,,,,,,,0.3,,0.4,,9.6,213.92198581560282,17.73900709219858,1011.5666666666666,
