date,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day
2015-04-26,,36636
2015-04-27,,36435
2015-04-28,,34259
2015-04-29,,44138
2015-04-30,,35972
2015-05-01,,37220
2015-05-02,,37153
2015-05-03,,44038
2015-05-04,,44050
2015-05-05,,39245
2015-05-06,,36089
2015-05-07,,35037
2015-05-08,,34945
2015-05-09,,36829
2015-05-10,,36726
2015-05-11,,40312
2015-05-12,,59816
2015-05-13,,41606
2015-05-14,,36991
2015-05-15,,37135
2015-05-16,,37039
2015-05-17,,37087
2015-05-18,,45106
2015-05-19,,38363
2015-05-20,,36502
2015-05-21,,36134
2015-05-22,,35497
2015-05-23,,35807
2015-05-24,,35903
2015-05-25,,36460
2015-05-26,,36968
2015-05-27,,36699
2015-05-28,,36653
2015-05-29,,36654
2015-05-30,,36790
2015-05-31,,38628
2015-06-01,,37588
2015-06-02,,36543
2015-06-03,,37720
2015-06-04,,36407
2015-06-05,,37143
2015-06-06,,36792
2015-06-07,,36643
2015-06-08,,35757
2015-06-09,,36496
2015-06-10,,36202
2015-06-11,,34750
2015-06-12,,36449
2015-06-13,,36166
2015-06-14,,38213
2015-06-15,,36392
2015-06-16,,35769
2015-06-17,,36077
2015-06-18,,36680
2015-06-19,,37229
2015-06-20,,37183
2015-06-21,,37501
2015-06-22,,36585
2015-06-23,,36713
2015-06-24,,35378
2015-06-25,,37589
2015-06-26,,45632
2015-06-27,,37121
2015-06-28,,36452
2015-06-29,,35635
2015-06-30,,41956
2015-07-01,,38041
2015-07-02,,36005
2015-07-03,,35250
2015-07-04,,35934
2015-07-05,,36743
2015-07-06,,35207
2015-07-07,,40765
2015-07-08,,57323
2015-07-09,,49305
2015-07-10,,38175
2015-07-11,,39477
2015-07-12,,55579
2015-07-13,,44482
2015-07-14,,41223
2015-07-15,,39473
2015-07-16,,36364
2015-07-17,,35268
2015-07-18,,37888
2015-07-19,,38138
2015-07-20,,39390
2015-07-21,,38658
2015-07-22,,40480
2015-07-23,,49684
2015-07-24,,43026
2015-07-25,,40660
2015-07-26,,39163
2015-07-27,,39017
2015-07-28,,38171
2015-07-29,,38289
2015-07-30,,37740
2015-07-31,,38386
2015-08-01,,40493
2015-08-02,,39464
2015-08-03,,38919
2015-08-04,,37977
2015-08-05,,38552
2015-08-06,,38519
2015-08-07,,38223
2015-08-08,,39140
2015-08-09,,38882
2015-08-10,,37549
2015-08-11,,36369
2015-08-12,,41846
2015-08-13,,38124
2015-08-14,,37052
2015-08-15,,35694
2015-08-16,,38233
2015-08-17,,36809
2015-08-18,,35869
2015-08-19,,35587
2015-08-20,,35810
2015-08-21,,47736
2015-08-22,,45528
2015-08-23,,42502
2015-08-24,,40248
2015-08-25,,46925
2015-08-26,,46447
2015-08-27,,43121
2015-08-28,,40660
2015-08-29,,40931
2015-08-30,,41237
2015-08-31,,39590
2015-09-01,,46784
2015-09-02,,40536
2015-09-03,,42519
2015-09-04,,40134
2015-09-05,,41543
2015-09-06,,52804
2015-09-07,,41205
