date,solar_radiation_sum
2019-04-30,16.8336
2019-05-01,16.9092
2019-05-02,25.902
2019-05-03,26.388
2019-05-04,25.2864
2019-05-05,21.7008
2019-05-06,21.6072
2019-05-07,26.7516
2019-05-08,22.3992
2019-05-09,23.3352
2019-05-10,21.9204
2019-05-11,26.697599999999998
2019-05-12,24.4116
2019-05-13,22.874399999999998
2019-05-14,21.419999999999998
2019-05-15,20.9628
2019-05-16,24.732
2019-05-17,20.3724
2019-05-18,4.8384
2019-05-19,8.5716
2019-05-20,10.317599999999999
2019-05-21,27.8496
2019-05-22,28.1268
2019-05-23,27.1728
2019-05-24,27.1476
2019-05-25,21.481199999999998
2019-05-26,25.5492
2019-05-27,4.5216
2019-05-28,24.21
2019-05-29,28.008
2019-05-30,23.3136
2019-05-31,18.7812
2019-06-01,22.0212
2019-06-02,23.9256
2019-06-03,27.363599999999998
2019-06-04,27.0396
2019-06-05,26.888399999999997
2019-06-06,20.9376
2019-06-07,9.395999999999999
2019-06-08,25.0416
2019-06-09,25.0524
2019-06-10,23.5836
2019-06-11,21.7332
2019-06-12,25.9992
2019-06-13,27.8352
2019-06-14,6.6744
2019-06-15,18.5796
2019-06-16,18.881999999999998
2019-06-17,20.8944
2019-06-18,17.6616
2019-06-19,23.1336
2019-06-20,26.37
2019-06-21,24.7716
2019-06-22,24.3504
2019-06-23,21.9132
2019-06-24,23.7816
2019-06-25,27.4104
2019-06-26,4.8671999999999995
2019-06-27,9.8568
2019-06-28,15.1128
2019-06-29,5.0652
2019-06-30,17.5356
2019-07-01,12.0384
2019-07-02,24.354
2019-07-03,16.596
2019-07-04,25.0992
2019-07-05,23.544
2019-07-06,26.1252
2019-07-07,25.034399999999998
2019-07-08,20.0736
2019-07-09,22.4496
2019-07-10,7.4376
2019-07-11,18.2988
2019-07-12,22.5684
2019-07-13,9.882
2019-07-14,24.21
2019-07-15,22.122
2019-07-16,25.0164
2019-07-17,21.69
2019-07-18,5.4972
2019-07-19,2.5343999999999998
2019-07-20,3.1715999999999998
2019-07-21,10.123199999999999
2019-07-22,23.634
2019-07-23,18.7668
2019-07-24,14.1732
2019-07-25,9.993599999999999
2019-07-26,19.090799999999998
2019-07-27,5.561999999999999
2019-07-28,18.503999999999998
2019-07-29,16.2216
2019-07-30,20.862
2019-07-31,24.102
2019-08-01,24.03
2019-08-02,25.2648
2019-08-03,25.308
2019-08-04,25.8588
2019-08-05,24.6312
2019-08-06,7.6644
2019-08-07,23.1588
2019-08-08,20.736
2019-08-09,23.342399999999998
2019-08-10,22.8924
2019-08-11,24.397199999999998
2019-08-12,24.238799999999998
2019-08-13,24.3144
2019-08-14,21.6432
2019-08-15,9.1548
2019-08-16,22.834799999999998
2019-08-17,25.6464
2019-08-18,21.7944
2019-08-19,16.3224
2019-08-20,18.666
2019-08-21,11.7432
2019-08-22,6.6636
2019-08-23,12.204
2019-08-24,20.4084
2019-08-25,15.1632
2019-08-26,23.4252
2019-08-27,6.1236
2019-08-28,6.5664
2019-08-29,3.1248
2019-08-30,23.6484
2019-08-31,20.6064
2019-09-01,7.812
2019-09-02,3.5676
2019-09-03,8.4096
2019-09-04,9.3744
2019-09-05,18.363599999999998
2019-09-06,14.5152
2019-09-07,13.5252
2019-09-08,10.8612
2019-09-09,20.077199999999998
2019-09-10,12.5316
2019-09-11,9.7632
2019-09-12,10.8828
2019-09-13,20.573999999999998
2019-09-14,21.4596
2019-09-15,18.4896
2019-09-16,18.3024
2019-09-17,20.4444
2019-09-18,18.81
2019-09-19,21.1968
2019-09-20,17.3412
2019-09-21,3.1536
2019-09-22,1.476
2019-09-23,6.224399999999999
2019-09-24,20.5884
2019-09-25,16.1892
2019-09-26,19.134
2019-09-27,9.0648
2019-09-28,9.7236
2019-09-29,13.737599999999999
2019-09-30,14.994
2019-10-01,2.8979999999999997
2019-10-02,2.9196
2019-10-03,15.3288
2019-10-04,17.2044
2019-10-05,13.960799999999999
2019-10-06,14.518799999999999
2019-10-07,7.4268
2019-10-08,15.12
2019-10-09,18.3636
2019-10-10,17.8236
2019-10-11,16.8984
2019-10-12,15.0336
2019-10-13,16.3476
2019-10-14,17.172
2019-10-15,11.4696
2019-10-16,15.8004
2019-10-17,10.6524
2019-10-18,2.1492
2019-10-19,14.5008
2019-10-20,14.274
2019-10-21,12.9384
2019-10-22,12.1428
2019-10-23,5.9292
2019-10-24,5.8031999999999995
2019-10-25,12.6828
2019-10-26,15.3936
2019-10-27,15.6528
2019-10-28,15.2316
2019-10-29,13.5072
2019-10-30,15.220799999999999
2019-10-31,14.9832
2019-11-01,14.616
2019-11-02,11.3904
2019-11-03,9.6552
2019-11-04,10.7136
2019-11-05,14.1012
2019-11-06,13.895999999999999
2019-11-07,11.6532
2019-11-08,13.41
2019-11-09,13.7088
2019-11-10,8.3448
2019-11-11,11.3292
2019-11-12,11.9772
2019-11-13,6.497999999999999
2019-11-14,13.5864
2019-11-15,13.0032
2019-11-16,10.9296
2019-11-17,4.3776
2019-11-18,6.6636
2019-11-19,7.956
2019-11-20,12.9024
2019-11-21,12.0384
2019-11-22,11.5488
2019-11-23,11.5092
2019-11-24,2.3004000000000002
2019-11-25,6.4475999999999996
2019-11-26,8.6652
2019-11-27,4.0176
2019-11-28,6.6564
2019-11-29,12.024000000000001
2019-11-30,7.3908
2019-12-01,1.8576
2019-12-02,10.5588
2019-12-03,10.314
2019-12-04,10.072799999999999
2019-12-05,11.4084
2019-12-06,8.262
2019-12-07,11.4228
2019-12-08,11.5272
2019-12-09,11.3292
2019-12-10,9.2844
2019-12-11,10.303199999999999
2019-12-12,11.4012
2019-12-13,9.0144
2019-12-14,11.0952
2019-12-15,6.7572
2019-12-16,10.1736
2019-12-17,5.9256
2019-12-18,10.764
2019-12-19,10.0044
2019-12-20,10.08
2019-12-21,6.1668
2019-12-22,3.9888
