examinDe,beachKoreanNm,examinLcDetail,distance_from_estuary_km,ecoli_max,enterococcus_max,any_exceed
2019-08-20,다대포서측,C,1.0,0.5,5.0,False
2019-08-13,다대포서측,A,0.0,0.5,0.5,False
2019-08-13,다대포서측,B,0.5,0.5,5.0,False
2019-08-13,다대포서측,C,1.0,0.5,0.5,False
2019-08-01,다대포서측,A,0.0,0.5,0.5,False
2019-08-01,다대포서측,B,0.5,0.5,0.5,False
2019-08-01,다대포서측,C,1.0,0.5,0.5,False
2019-07-16,다대포서측,A,0.0,63.0,93.0,False
2019-07-16,다대포서측,B,0.5,62.0,269.0,True
2019-07-16,다대포서측,C,1.0,63.0,430.0,True
2019-07-09,다대포서측,A,0.0,20.0,433.0,True
2019-07-09,다대포서측,B,0.5,20.0,362.0,True
2019-07-09,다대포서측,C,1.0,20.0,86.0,False
2019-06-17,다대포서측,A,0.0,0.5,10.0,False
2019-06-17,다대포서측,B,0.5,0.5,10.0,False
2019-06-17,다대포서측,C,1.0,20.0,0.5,False
2020-09-15,다대포서측,A,0.0,638.0,1180.0,True
2020-09-15,다대포서측,B,0.5,8164.0,12098.0,True
2020-09-15,다대포서측,C,1.0,161.0,3066.0,True
2020-08-19,다대포서측,A,0.0,0.5,0.5,False
2020-08-19,다대포서측,B,0.5,0.5,0.5,False
2020-08-19,다대포서측,C,1.0,0.5,0.5,False
2020-08-14,다대포서측,A,0.0,41.0,26.0,False
2020-08-14,다대포서측,B,0.5,20.0,5.0,False
2020-08-14,다대포서측,C,1.0,20.0,0.5,False
2020-08-04,다대포서측,A,0.0,0.5,15.0,False
2020-08-04,다대포서측,B,0.5,0.5,5.0,False
2020-08-04,다대포서측,C,1.0,0.5,15.0,False
2020-07-21,다대포서측,A,0.0,86.0,5.0,False
2020-07-21,다대포서측,B,0.5,31.0,16.0,False
2020-07-21,다대포서측,C,1.0,86.0,16.0,False
2020-07-17,다대포서측,A,0.0,10.0,0.5,False
2020-07-17,다대포서측,B,0.5,20.0,10.0,False
2020-07-17,다대포서측,C,1.0,41.0,0.5,False
2020-07-09,다대포서측,A,0.0,10.0,10.0,False
2020-07-09,다대포서측,B,0.5,20.0,10.0,False
2020-07-09,다대포서측,C,1.0,10.0,0.5,False
2020-06-17,다대포서측,A,0.0,135.0,10.0,False
2020-06-17,다대포서측,B,0.5,135.0,0.5,False
2020-06-17,다대포서측,C,1.0,86.0,48.0,False
2021-09-29,다대포서측,다대B,0.5,10.0,20.0,False
2021-09-29,다대포서측,다대C,1.0,5.0,10.0,False
2021-08-31,다대포서측,,0.0,0.5,0.5,False
2021-08-31,다대포서측,,0.0,0.5,10.0,False
