date,suyeong_vol,nambu_vol
2015-07-13,491581,399876
2015-07-14,459157,389888
2015-07-15,409451,384558
2015-07-16,371709,381442
2015-07-17,360715,383206
2015-07-18,371474,374467
2015-07-19,363506,369530
2015-07-20,382088,380430
2015-07-21,388487,393724
2015-07-22,358113,352860
2015-07-23,452334,386881
2015-07-24,454283,399191
2015-07-25,473463,383237
2015-07-26,414527,413499
2015-07-27,399760,409693
2015-07-28,379771,409667
2015-07-29,373224,398457
2015-07-30,362920,398104
2015-07-31,350626,404684
2015-08-01,347816,395661
2015-08-02,336117,394183
2015-08-03,349735,398376
2015-08-04,336072,387324
2015-08-05,332298,389472
2015-08-06,329683,377466
2015-08-07,323059,379738
2015-08-08,326284,381694
2015-08-09,326674,380611
2015-08-10,319217,367816
2015-08-11,321800,357345
2015-08-12,430883,389134
2015-08-13,362475,399808
2015-08-14,340540,384010
2015-08-15,331835,372947
2015-08-16,335766,374549
2015-08-17,387206,384618
2015-08-18,325750,375972
2015-08-19,328251,364408
2015-08-20,352239,359661
2015-08-21,450622,383454
2015-08-22,404464,382666
2015-08-23,362124,346943
2015-08-24,342126,352553
2015-08-25,477947,351878
2015-08-26,472593,349162
2015-08-27,412294,362958
2015-08-28,382451,357027
2015-08-29,371456,348623
2015-08-30,366080,350932
2015-08-31,373818,352770
2015-09-01,470102,373976
2015-09-02,392778,362667
2015-09-03,409656,362803
2015-09-04,373508,364134
2015-09-05,366547,357251
2015-09-06,486560,356487
2015-09-07,415316,356501
2015-09-08,369042,358524
2015-09-09,351642,376809
2015-09-10,347137,369525
2015-09-11,344688,373475
2015-09-12,374680,363742
2015-09-13,357102,357081
2015-09-14,335229,340989
2015-09-15,373538,353943
2015-09-16,343850,341610
2015-09-17,486079,365553
2015-09-18,461138,365966
2015-09-19,415939,368779
2015-09-20,394172,369904
2015-09-21,367649,365373
2015-09-22,362915,345284
2015-09-23,386530,359488
2015-09-24,475228,391543
2015-09-25,452726,391330
2015-09-26,426032,383875
2015-09-27,386017,375934
2015-09-28,362633,385468
2015-09-29,364232,375214
2015-09-30,344861,365406
2015-10-01,450983,384610
2015-10-02,467297,391530
2015-10-03,410485,373676
2015-10-04,378872,376939
2015-10-05,358185,380420
2015-10-06,345369,363978
2015-10-07,345456,362857
2015-10-08,341669,348126
2015-10-09,337890,354216
2015-10-10,335240,358477
2015-10-11,337777,352881
