distance_from_estuary_km,precip_daily,temp_daily,wind_max,gijang_discharge_m3_day,discharge_95th_thresh,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,wind_max_1d_lag,gijang_discharge_1d_lag,gijang_thresh_1d_lag,CSO_Flag_Rain,Dual_CSO_Flag,month,is_weekend,avg_water_temp,avg_water_temp_1d_lag,tide_range,tide_range_1d_lag,wind_sin,wind_cos,wind_sin_1d_lag,wind_cos_1d_lag,dry_days_count,actual,predicted_prob,predicted_class,is_error
0.0,0.0,27.48333333333333,16.3,6023.2,7054.359999999999,0.0,0.0,0.0,0.0,27.633333333333336,17.9,3407.3,5073.0,0.0,0.0,8.0,0.0,28.5,28.2,110.0,124.0,0.9238795325112868,0.3826834323650898,0.2436150117860225,0.9698720152847468,6.0,0,0.40989533,1,True
1.0,0.0,27.48333333333333,16.3,6023.2,7054.359999999999,0.0,0.0,0.0,0.0,27.633333333333336,17.9,3407.3,5073.0,0.0,0.0,8.0,0.0,28.5,28.2,110.0,124.0,0.9238795325112868,0.3826834323650898,0.2436150117860225,0.9698720152847468,6.0,0,0.33666018,1,True
0.0,5.1,24.89583333333333,21.7,6018.0,7678.479999999999,1.9,7.900000000000007,15.2,27.7,24.741666666666664,18.8,2349.8,5126.300000000001,0.0,0.0,7.0,0.0,17.4,17.8,84.0,75.0,-0.9040825496607784,0.4273578633871923,-0.7071067811865475,-0.7071067811865477,0.0,0,0.49284488,1,True
1.0,5.1,24.89583333333333,21.7,6018.0,7678.479999999999,1.9,7.900000000000007,15.2,27.7,24.741666666666664,18.8,2349.8,5126.300000000001,0.0,0.0,7.0,0.0,17.4,17.8,84.0,75.0,-0.9040825496607784,0.4273578633871923,-0.7071067811865475,-0.7071067811865477,0.0,0,0.4960528,1,True
0.5,0.2,27.525,15.6,6109.2,7107.659999999999,6.4,7.80000000000001,7.900000000000004,10.000000000000002,26.8,14.6,1380.4,4966.4,0.0,0.0,7.0,0.0,18.2,17.6,71.0,64.0,-0.3826834323650896,-0.9238795325112868,-0.67172058932299,0.7408045962867502,0.0,0,0.40869665,1,True
1.0,0.2,27.525,15.6,6109.2,7107.659999999999,6.4,7.80000000000001,7.900000000000004,10.000000000000002,26.8,14.6,1380.4,4966.4,0.0,0.0,7.0,0.0,18.2,17.6,71.0,64.0,-0.3826834323650896,-0.9238795325112868,-0.67172058932299,0.7408045962867502,0.0,0,0.40869665,1,True
0.0,0.0,25.9125,18.6,6004.7,7197.065,0.0,5.000000000000009,5.000000000000004,5.000000000000004,26.29583333333333,15.5,2820.7,4966.4,0.0,0.0,8.0,0.0,26.3,25.7,45.0,40.0,0.8580649057236446,0.5135412520581701,0.9892723329629884,0.1460830285624116,2.0,0,0.7064718,1,True
0.5,0.0,25.9125,18.6,6004.7,7197.065,0.0,5.000000000000009,5.000000000000004,5.000000000000004,26.29583333333333,15.5,2820.7,4966.4,0.0,0.0,8.0,0.0,26.3,25.7,45.0,40.0,0.8580649057236446,0.5135412520581701,0.9892723329629884,0.1460830285624116,2.0,0,0.65474707,1,True
0.5,0.0,27.1375,15.6,6794.4,8154.4299999999985,0.1,0.1,4.800000000000014,5.5,26.445833333333336,14.0,5988.6,8632.974999999999,0.0,0.0,7.0,0.0,21.1,21.6,119.0,107.0,-0.5962248749656155,-0.8028174751911148,-0.0488497697956132,-0.998806137341434,1.0,1,0.18253852,0,True
1.0,0.0,28.1,11.1,6682.7,7440.904999999999,0.0,0.0,0.0,0.0,27.995833333333334,14.0,6752.3,7298.199999999999,0.0,0.0,7.0,0.0,17.4,17.0,76.0,101.0,-0.2436150117860221,-0.9698720152847468,1.2246467991473532e-16,-1.0,8.0,0,0.39020827,1,True
0.0,0.0,29.9,9.7,6683.3,7440.904999999997,0.0,0.0,0.0,0.0,29.879166666666663,15.7,6771.4,7107.659999999998,0.0,0.0,7.0,0.0,19.1,18.9,86.0,78.0,0.3370952584230821,-0.941470544812038,-1.0,-1.8369701987210292e-16,15.0,0,0.52550894,1,True
0.5,0.0,29.9,9.7,6683.3,7440.904999999997,0.0,0.0,0.0,0.0,29.879166666666663,15.7,6771.4,7107.659999999998,0.0,0.0,7.0,0.0,19.1,18.9,86.0,78.0,0.3370952584230821,-0.941470544812038,-1.0,-1.8369701987210292e-16,15.0,1,0.17852686,0,True
0.0,0.0,28.28333333333333,15.2,5923.1,7625.18,0.0,0.0,3.300000000000014,8.2,28.641666666666666,14.9,4008.7,5459.545000000001,0.0,0.0,8.0,0.0,27.6,27.4,83.0,94.0,0.6717205893229902,0.7408045962867501,0.9892723329629884,-0.1460830285624117,3.0,0,0.5338432,1,True
1.0,0.0,28.28333333333333,15.2,5923.1,7625.18,0.0,0.0,3.300000000000014,8.2,28.641666666666666,14.9,4008.7,5459.545000000001,0.0,0.0,8.0,0.0,27.6,27.4,83.0,94.0,0.6717205893229902,0.7408045962867501,0.9892723329629884,-0.1460830285624117,3.0,0,0.5338432,1,True
