지점,지점명,일시,평균 풍속(m/s),최대 순간 풍속 풍향(deg)
923,기장,2017-08-19,1.5,123.8
923,기장,2017-08-20,1.3,357.2
923,기장,2017-08-21,1.9,289.7
923,기장,2017-08-22,1.6,222.2
923,기장,2017-08-23,1.9,264.4
923,기장,2017-08-24,2.5,267.2
923,기장,2017-08-25,1.2,272.8
923,기장,2017-08-26,1.5,84.4
923,기장,2017-08-27,1.9,45
923,기장,2017-08-28,1.6,250.3
923,기장,2017-08-29,2,250.3
923,기장,2017-08-30,1.7,64.7
923,기장,2017-08-31,2.6,47.8
923,기장,2017-09-01,3.3,25.3
923,기장,2017-09-02,2.7,146.3
923,기장,2017-09-03,2.6,92.8
923,기장,2017-09-04,2.4,22.5
923,기장,2017-09-05,1.8,45
923,기장,2017-09-06,.9,42.2
923,기장,2017-09-07,1.1,0
923,기장,2017-09-08,1.4,317.8
923,기장,2017-09-09,1.3,191.3
923,기장,2017-09-10,1.3,22.5
923,기장,2017-09-12,1.2,180
923,기장,2017-09-13,1.8,87.2
923,기장,2017-09-14,2.5,53.4
923,기장,2017-09-15,3.9,67.5
923,기장,2017-09-16,3.8,73.1
923,기장,2017-09-17,3.3,14.1
923,기장,2017-09-18,1.6,194.1
923,기장,2017-09-19,1.6,298.1
923,기장,2017-09-20,1.1,278.4
923,기장,2017-09-21,1.4,81.6
923,기장,2017-09-22,1.5,84.4
923,기장,2017-09-23,1.2,312.2
923,기장,2017-09-24,1.5,208.1
923,기장,2017-09-25,1.8,343.1
923,기장,2017-09-26,1.9,42.2
923,기장,2017-09-27,2.8,25.3
923,기장,2017-09-28,2.1,59.1
923,기장,2017-09-29,1.3,50.6
923,기장,2017-09-30,1.4,182.8
923,기장,2017-10-01,1.5,177.2
923,기장,2017-10-02,2.5,210.9
923,기장,2017-10-03,2.4,59.1
923,기장,2017-10-04,2.6,92.8
923,기장,2017-10-05,2.6,87.2
923,기장,2017-10-06,1.8,30.9
923,기장,2017-10-07,2,56.3
923,기장,2017-10-08,1.7,70.3
923,기장,2017-10-09,1.5,168.8
923,기장,2017-10-10,1,329.1
923,기장,2017-10-11,1.5,
923,기장,2017-10-12,2,56.3
923,기장,2017-10-13,1.6,61.9
923,기장,2017-10-14,2.5,56.3
923,기장,2017-10-15,3,154.7
923,기장,2017-10-16,3,42.2
923,기장,2017-10-17,3.1,81.6
923,기장,2017-10-18,3.5,118.1
923,기장,2017-10-19,2.9,73.1
923,기장,2017-10-20,3,42.2
923,기장,2017-10-21,3.6,47.8
923,기장,2017-10-22,5.6,56.3
923,기장,2017-10-23,3,28.1
923,기장,2017-10-24,2,64.7
923,기장,2017-10-25,2,92.8
923,기장,2017-10-26,2,334.7
923,기장,2017-10-27,2.3,92.8
923,기장,2017-10-28,2.7,33.8
923,기장,2017-10-29,2.7,348.8
923,기장,2017-10-30,1.7,53.4
923,기장,2017-10-31,2.1,205.3
923,기장,2017-11-01,1.4,222.2
923,기장,2017-11-02,1.8,199.7
923,기장,2017-11-03,2,270
923,기장,2017-11-04,2.3,306.6
923,기장,2017-11-05,1.9,182.8
923,기장,2017-11-06,1.3,199.7
923,기장,2017-11-07,1.3,284.1
923,기장,2017-11-08,1.4,309.4
923,기장,2017-11-09,2.1,36.6
923,기장,2017-11-10,2.9,306.6
923,기장,2017-11-11,2,281.3
923,기장,2017-11-12,1.9,236.3
923,기장,2017-11-13,1.7,199.7
923,기장,2017-11-14,1.5,298.1
923,기장,2017-11-15,1.7,306.6
923,기장,2017-11-16,1.5,196.9
923,기장,2017-11-17,1.6,272.8
923,기장,2017-11-18,2.3,326.3
923,기장,2017-11-19,1.8,351.6
923,기장,2017-11-20,1.9,315
923,기장,2017-11-21,1.7,202.5
