date,ecoli,any_exceed,precipitation_mm,temperature_2m,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,month,중앙사업단_vol,중앙사업단_vol_1d_lag,중앙사업단_vol_3d_sum_lag,영도사업단_vol,영도사업단_vol_1d_lag,영도사업단_vol_3d_sum_lag
2018-07-12,512.0,1,0.0,26.4375,0.0,3.7,4.1,26.008333333333336,26.4375,7,95020.0,89782.0,276699.0,,,
2018-07-19,10.0,0,0.0,28.479166666666668,0.0,0.0,0.0,28.09583333333333,28.479166666666668,7,85627.0,88410.0,263003.0,,,
2018-07-26,152.0,0,0.0,30.425,0.0,0.0,0.0,29.816666666666666,30.425,7,91223.0,91536.0,251302.0,,,
2018-08-02,892.0,1,0.0,28.5625,0.0,3.0,5.8999999999999995,28.941666666666666,28.5625,8,89098.0,88526.0,262216.0,,,
2018-08-09,633.0,1,1.4,27.108333333333334,0.2,3.1,3.1,26.400000000000002,27.108333333333334,8,89110.0,85405.0,262536.0,,,
2018-08-22,272.0,0,0.1,28.383333333333336,0.0,0.0,0.0,26.849999999999998,28.383333333333336,8,87977.0,89659.0,265546.0,,,
2019-05-24,30.0,0,0.0,20.7625,0.0,0.0,25.90000000000001,19.55,20.7625,5,93476.0,96583.0,284324.0,,,
2019-07-04,32.0,0,0.0,23.55,0.0,0.8000000000000143,90.9,21.8,23.55,7,98749.0,98239.0,301102.0,,,
2019-07-16,1.0,0,0.0,22.65833333333333,0.30000000000000004,2.6000000000000147,7.800000000000015,22.495833333333334,22.65833333333333,7,98888.0,97697.0,291960.0,,,
2019-08-01,32.0,0,0.0,27.3875,0.0,2.5,24.700000000000003,27.037499999999998,27.3875,8,98280.0,100493.0,299028.0,,,
2019-08-13,1.0,0,0.0,28.308333333333334,0.0,0.1,0.6,27.945833333333336,28.308333333333334,8,100812.0,98888.0,296279.0,,,
2019-08-20,1.0,0,2.1,25.320833333333336,2.6999999999999997,2.9999999999999996,10.2,25.829166666666666,25.320833333333336,8,100016.0,101657.0,300345.0,,,
2019-09-25,2142.0,1,0.0,19.608333333333334,0.0,161.0,203.0,18.900000000000002,19.608333333333334,9,104593.0,104947.0,313190.0,,,
2020-06-17,161.0,0,0.0,20.745833333333334,0.0,32.0,165.1,21.995833333333334,20.745833333333334,6,85393.0,82662.0,250497.0,,,
2020-07-09,1.0,0,9.4,21.954166666666666,0.5,5.7,13.399999999999999,23.333333333333332,21.954166666666666,7,81301.0,78132.0,232647.0,,,
2020-07-17,10.0,0,0.0,20.525000000000002,0.30000000000000004,8.900000000000015,154.9,20.170833333333334,20.525000000000002,7,81502.0,84615.0,266355.0,,,
2020-07-21,10.0,0,16.5,24.633333333333336,7.6,15.800000000000015,16.1,24.65416666666667,24.633333333333336,7,83550.0,84916.0,245365.0,,,
2020-08-04,86.0,0,0.6000000000000001,26.166666666666668,1.3,2.800000000000014,14.500000000000014,26.15416666666667,26.166666666666668,8,79711.0,85385.0,257230.0,,,
2020-08-14,169.0,0,0.5,27.2625,0.0,12.900000000000022,48.20000000000002,27.150000000000002,27.2625,8,87987.0,86422.0,258020.0,,,
2020-08-19,1.0,0,0.0,28.433333333333334,0.0,0.0,0.5000000000000142,27.78333333333333,28.433333333333334,8,85173.0,84881.0,255307.0,,,
2020-09-15,97.0,0,0.5,22.054166666666664,0.0,11.200000000000028,19.9,21.333333333333332,22.054166666666664,9,87886.0,85614.0,252584.0,,,
2021-06-08,452.0,0,0.0,21.787499999999998,0.0,0.0,13.9,21.275000000000002,21.787499999999998,6,70601.0,73415.0,215667.0,,,
2021-07-15,134.0,0,3.3,26.641666666666666,2.7,6.800000000000022,8.2,26.558333333333334,26.641666666666666,7,81597.0,82228.0,244618.0,,,
2021-07-22,30.0,0,0.0,26.304166666666664,0.0,6.2000000000000215,18.700000000000003,26.291666666666668,26.304166666666664,7,78854.0,83536.0,252712.0,,,
2021-07-29,96.0,0,0.0,26.695833333333336,0.4,0.40000000000002134,0.5,26.441666666666666,26.695833333333336,7,82610.0,81609.0,249432.0,,,
2021-08-03,168.0,0,0.4,27.241666666666664,2.3000000000000003,23.400000000000023,23.400000000000002,27.787499999999998,27.241666666666664,8,82552.0,74978.0,231227.0,,,
2021-08-10,265.0,0,7.6000000000000005,24.858333333333334,18.1,63.90000000000002,63.9,25.858333333333334,24.858333333333334,8,85653.0,83615.0,243874.0,,,
2021-08-31,327.0,0,9.4,24.541666666666668,1.6999999999999997,4.800000000000021,11.2,25.59166666666667,24.541666666666668,8,78731.0,83487.0,251446.0,,,
2021-09-29,86.0,0,11.100000000000001,23.1125,3.7,4.2000000000000215,6.300000000000015,21.525000000000002,23.1125,9,80781.0,79261.0,225489.0,,,
2022-06-29,422.0,0,4.8,24.037499999999998,0.8,19.80000000000002,55.100000000000016,24.391666666666666,24.037499999999998,6,92732.0,88000.0,259088.0,,,
2022-07-07,41.0,0,1.2000000000000002,26.870833333333334,3.4,9.600000000000017,10.700000000000014,25.791666666666668,26.870833333333334,7,74783.0,78240.0,250279.0,,,
2022-07-20,121.0,0,0.7,26.233333333333334,3.9,88.00000000000003,89.00000000000003,24.945833333333336,26.233333333333334,7,89145.0,82782.0,256708.0,,,
2022-07-26,460.0,0,0.1,24.45,1.5,21.200000000000014,37.500000000000014,24.833333333333332,24.45,7,80771.0,79752.0,257516.0,,,
2022-08-03,323.0,0,3.8,27.083333333333332,13.7,23.900000000000013,25.000000000000014,26.583333333333332,27.083333333333332,8,79618.0,78113.0,242806.0,,,
2022-08-09,109.0,0,0.0,27.650000000000002,0.0,4.500000000000014,10.900000000000013,28.474999999999998,27.650000000000002,8,76100.0,74480.0,235367.0,,,
2022-08-16,326.0,0,10.0,26.520833333333332,1.0,10.400000000000013,22.300000000000015,28.445833333333336,26.520833333333332,8,79373.0,79667.0,245527.0,,,
2022-08-30,209.0,0,7.6,22.9375,0.0,0.0,0.10000000000001422,23.229166666666668,22.9375,8,83242.0,85829.0,257445.0,,,
2022-09-26,84.0,0,0.9,20.008333333333333,0.2,0.20000000000001422,0.20000000000002843,19.570833333333333,20.008333333333333,9,79565.0,84708.0,255176.0,,,
2023-06-07,31.0,0,0.0,20.170833333333334,0.1,0.10000000000001422,6.300000000000028,19.183333333333334,20.170833333333334,6,56742.0,56605.0,173255.0,34000.0,31670.0,100400.0
2023-07-04,70.0,0,15.5,22.983333333333334,0.9,5.100000000000022,28.10000000000003,23.4375,22.983333333333334,7,62354.0,64275.0,196582.0,39950.0,35680.0,115930.0
2023-07-19,1682.0,1,11.5,23.441666666666666,59.1,105.60000000000002,132.4,24.233333333333334,23.441666666666666,7,86843.0,83580.0,251454.0,61340.0,68740.0,209870.0
2023-07-27,208.0,0,0.0,27.129166666666666,1.6,8.100000000000028,18.200000000000014,26.070833333333336,27.129166666666666,7,58930.0,57313.0,172401.0,36270.0,37130.0,118930.0
2023-08-01,140.0,0,0.0,27.858333333333334,0.0,0.0,0.0,28.070833333333336,27.858333333333334,8,58622.0,59597.0,178775.0,34660.0,35110.0,105310.0
2023-08-08,918.0,1,0.0,27.8625,0.0,0.10000000000002843,0.10000000000001422,28.96666666666667,27.8625,8,54925.0,56557.0,170530.0,33690.0,33610.0,102910.0
2023-08-23,16430.0,1,3.5,27.508333333333336,3.4,8.80000000000003,58.10000000000001,27.266666666666666,27.508333333333336,8,67299.0,61855.0,183979.0,36400.0,36210.0,120270.0
2023-08-28,104.0,0,0.8,25.895833333333332,0.5,0.9000000000000284,68.20000000000002,25.608333333333334,25.895833333333332,8,60746.0,61458.0,189218.0,35400.0,36400.0,118140.0
2024-06-03,5.0,0,0.7000000000000001,17.775000000000002,1.8,2.0000000000000284,2.2000000000000144,18.254166666666666,17.775000000000002,6,49088.0,49758.0,146839.0,33050.0,33990.0,101890.0
2024-07-15,32.0,0,20.900000000000002,23.233333333333334,30.3,31.10000000000003,62.40000000000001,23.15416666666667,23.233333333333334,7,57285.0,62046.0,176080.0,71380.0,69120.0,148770.0
2024-07-29,26.0,0,0.0,28.116666666666664,0.5,5.600000000000028,20.500000000000014,27.974999999999998,28.116666666666664,7,56792.0,57374.0,185000.0,41670.0,46050.0,148510.0
2024-08-05,1.0,0,0.0,27.733333333333334,0.8,5.100000000000029,5.100000000000015,28.491666666666664,27.733333333333334,8,55720.0,55449.0,170313.0,37280.0,36590.0,112040.0
2024-08-19,21.0,0,2.0,28.429166666666664,0.0,0.5000000000000289,3.7000000000000144,27.233333333333334,28.429166666666664,8,59132.0,53570.0,165546.0,34720.0,34260.0,100180.0
2024-09-02,1.0,0,2.2,25.741666666666664,0.1,1.2000000000000286,16.600000000000016,25.704166666666666,25.741666666666664,9,55777.0,56950.0,167543.0,32780.0,33360.0,101500.0
2025-06-13,228.0,0,6.7,19.920833333333334,0.0,0.10000000000002843,0.0999999999999929,21.383333333333336,19.920833333333334,6,57339.0,54955.0,162467.0,34010.0,31860.0,95140.0
2025-07-03,63.0,0,0.0,28.579166666666666,0.0,0.0,0.0,28.554166666666664,28.579166666666666,7,60982.0,59560.0,184850.0,36470.0,36450.0,113180.0
2025-07-16,512.0,1,3.7,24.787499999999998,2.5,74.40000000000003,74.4,23.558333333333334,24.787499999999998,7,77247.0,79053.0,271913.0,43800.0,57710.0,176290.0
2025-07-30,98.0,0,0.0,28.391666666666666,0.0,0.0,0.10000000000000711,28.645833333333332,28.391666666666666,7,63070.0,62567.0,187317.0,33930.0,34630.0,106790.0
2025-08-13,495.0,0,1.9,26.641666666666666,34.6,145.00000000000003,176.3,22.441666666666666,26.641666666666666,8,67932.0,91324.0,268566.0,65820.0,73500.0,185570.0
2025-08-26,299.0,0,0.30000000000000004,28.441666666666666,0.30000000000000004,1.2000000000000286,1.9,28.979166666666668,28.441666666666666,8,65470.0,65942.0,186848.0,33830.0,35060.0,104810.0
2025-09-16,173.0,0,0.2,26.6375,2.2,11.500000000000028,12.1,25.679166666666664,26.6375,9,64309.0,64993.0,195553.0,33150.0,33770.0,117730.0
2026-06-16,10.0,0,0.0,22.704166666666666,0.0,0.0,1.2000000000000002,22.633333333333336,22.704166666666666,6,58117.0,58171.0,174877.0,0.0,0.0,0.0
2026-07-07,98.0,0,3.2,25.170833333333334,4.6,30.70000000000003,31.700000000000003,24.816666666666666,25.170833333333334,7,61844.0,62147.0,185115.0,0.0,0.0,0.0
2026-07-22,20.0,0,0.0,29.204166666666666,0.6,18.600000000000026,27.9,28.425,29.204166666666666,7,57709.0,57166.0,172715.0,0.0,0.0,0.0
2026-08-05,10.0,0,0.0,28.083333333333332,0.5,0.5000000000000284,0.5,29.09583333333333,28.083333333333332,8,56919.0,57949.0,175300.0,0.0,0.0,0.0
2026-08-19,169.0,0,1.9,27.270833333333332,15.1,316.6,320.9,25.84583333333333,27.270833333333332,8,61549.0,78117.0,225207.0,0.0,0.0,0.0
