date,examinLcDetail,distance_to_outfall,ecoli,any_exceed,precipitation_mm,temperature_2m,wind_speed_m_s,wind_direction_deg,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,wind_speed_1d_lag,wind_dir_1d_lag,month,중앙사업단_vol,중앙사업단_vol_1d_lag,중앙사업단_vol_3d_sum_lag,영도사업단_vol,영도사업단_vol_1d_lag,영도사업단_vol_3d_sum_lag,log_ecoli
2015-09-21,,0.0,130.0,0,0.0,21.2625,2.4502334416666667,50.166666666666664,0.0,2.0,37.9,20.445833333333333,21.2625,1.2650473083333333,141.08333333333334,9,90005.0,91513.0,280092.0,,,,4.875197323201151
2015-09-21,,0.0,150.0,0,0.0,21.2625,2.4502334416666667,50.166666666666664,0.0,2.0,37.9,20.445833333333333,21.2625,1.2650473083333333,141.08333333333334,9,90005.0,91513.0,280092.0,,,,5.017279836814924
2015-09-21,,0.0,220.0,0,0.0,21.2625,2.4502334416666667,50.166666666666664,0.0,2.0,37.9,20.445833333333333,21.2625,1.2650473083333333,141.08333333333334,9,90005.0,91513.0,280092.0,,,,5.3981627015177525
2015-08-04,,0.0,10.0,0,0.0,26.741666666666664,4.151623691666667,229.79166666666666,0.0,0.0,0.0,26.6125,26.741666666666664,3.498845391666667,228.66666666666666,8,86948.0,91658.0,264742.0,,,,2.3978952727983707
2015-08-04,,0.0,1.0,0,0.0,26.741666666666664,4.151623691666667,229.79166666666666,0.0,0.0,0.0,26.6125,26.741666666666664,3.498845391666667,228.66666666666666,8,86948.0,91658.0,264742.0,,,,0.6931471805599453
2015-08-04,,0.0,20.0,0,0.0,26.741666666666664,4.151623691666667,229.79166666666666,0.0,0.0,0.0,26.6125,26.741666666666664,3.498845391666667,228.66666666666666,8,86948.0,91658.0,264742.0,,,,3.044522437723423
2015-07-28,,0.0,1.0,0,0.8,27.287499999999998,2.7847244500000006,239.29166666666666,0.2,0.2,12.6,26.712500000000002,27.287499999999998,2.5659742750000003,256.875,7,82572.0,87144.0,265334.0,,,,0.6931471805599453
2015-07-28,,0.0,20.0,0,0.8,27.287499999999998,2.7847244500000006,239.29166666666666,0.2,0.2,12.6,26.712500000000002,27.287499999999998,2.5659742750000003,256.875,7,82572.0,87144.0,265334.0,,,,3.044522437723423
2015-07-28,,0.0,20.0,0,0.8,27.287499999999998,2.7847244500000006,239.29166666666666,0.2,0.2,12.6,26.712500000000002,27.287499999999998,2.5659742750000003,256.875,7,82572.0,87144.0,265334.0,,,,3.044522437723423
2015-07-16,,0.0,10.0,0,0.0,21.525000000000002,7.832182191666668,27.333333333333332,0.0,5.1,82.6,23.8125,21.525000000000002,2.8263911500000005,158.95833333333334,7,84295.0,85406.0,286831.0,,,,2.3978952727983707
2015-07-16,,0.0,10.0,0,0.0,21.525000000000002,7.832182191666668,27.333333333333332,0.0,5.1,82.6,23.8125,21.525000000000002,2.8263911500000005,158.95833333333334,7,84295.0,85406.0,286831.0,,,,2.3978952727983707
