date,jungang_discharge_m3_day
2016-06-17,87194
2016-06-18,88390
2016-06-19,87770
2016-06-20,89320
2016-06-21,91473
2016-06-22,90275
2016-06-23,87472
2016-06-24,105520
2016-06-25,91679
2016-06-26,84347
2016-06-27,77427
2016-06-28,85514
2016-06-29,84295
2016-06-30,85813
2016-07-01,88123
2016-07-02,101343
2016-07-03,102039
2016-07-04,109223
2016-07-05,98807
2016-07-06,93481
2016-07-07,90287
2016-07-08,90654
2016-07-09,89484
2016-07-10,87831
2016-07-11,100118
2016-07-12,88574
2016-07-13,88460
2016-07-14,93569
2016-07-15,91813
2016-07-16,87606
2016-07-17,86321
2016-07-18,89388
2016-07-19,88599
2016-07-20,91433
2016-07-21,89061
2016-07-22,88601
2016-07-23,88439
2016-07-24,86255
2016-07-25,86799
2016-07-26,86336
2016-07-27,87964
2016-07-28,85640
2016-07-29,85993
2016-07-30,89232
2016-07-31,87465
2016-08-01,86512
2016-08-02,82965
2016-08-03,87358
2016-08-04,90551
2016-08-05,90415
2016-08-06,85707
2016-08-07,85702
2016-08-08,86650
2016-08-09,86147
2016-08-10,84648
2016-08-11,85610
2016-08-12,85749
2016-08-13,82123
2016-08-14,86222
2016-08-15,94613
2016-08-16,99846
2016-08-17,88786
2016-08-18,89155
2016-08-19,89902
2016-08-20,91116
2016-08-21,91866
2016-08-22,90448
2016-08-23,89476
2016-08-24,90645
2016-08-25,88816
2016-08-26,89416
2016-08-27,88976
2016-08-28,114323
2016-08-29,99842
2016-08-30,95618
2016-08-31,95811
2016-09-01,91060
2016-09-02,107345
2016-09-03,114775
2016-09-04,94221
2016-09-05,94166
2016-09-06,90705
2016-09-07,91531
2016-09-08,92227
2016-09-09,90516
2016-09-10,87265
2016-09-11,85298
2016-09-12,95928
2016-09-13,87817
2016-09-14,88739
2016-09-15,85716
2016-09-16,88211
2016-09-17,84497
2016-09-18,91613
2016-09-19,82374
2016-09-20,99057
2016-09-21,91380
2016-09-22,88180
2016-09-23,84669
2016-09-24,84960
2016-09-25,81734
2016-09-26,84793
2016-09-27,86342
2016-09-28,103461
2016-09-29,101791
2016-09-30,100266
2016-10-01,91939
2016-10-02,89925
2016-10-03,89850
2016-10-04,87991
2016-10-05,105093
2016-10-06,103010
2016-10-07,100797
2016-10-08,104352
2016-10-09,94238
2016-10-10,88317
2016-10-11,82536
2016-10-12,86348
2016-10-13,89616
2016-10-14,87073
2016-10-15,87741
2016-10-16,90928
2016-10-17,86308
2016-10-18,88265
2016-10-19,91054
2016-10-20,89735
2016-10-21,91911
2016-10-22,88394
2016-10-23,87811
2016-10-24,85085
2016-10-25,87821
2016-10-26,88998
2016-10-27,87948
2016-10-28,88724
2016-10-29,86360
2016-10-30,85547
