inspecYm,inspecDivision,inspecArea,water01,water02,waterComment,sample_date
20200804,개장중 8월 4일,송도1,10,10,적합,2020-08-04
20200804,개장중 8월 14일,송도2,21,74,적합,2020-08-04
20200804,개장중 8월 4일,송도2,21,74,적합,2020-08-04
20200804,개장중 8월 14일,송도3,10,86,적합,2020-08-04
20200804,개장중 8월 4일,송도3,10,86,적합,2020-08-04
20200814,개장중 8월 14일,송도1,5,120,적합,2020-08-14
20200814,개장중 8월 14일,송도2,0,169,적합,2020-08-14
20200814,개장중 8월 14일,송도3,10,108,적합,2020-08-14
20200819,개장중 8월 19일,송도1,0,0,적합,2020-08-19
20200819,개장중 8월 19일,송도2,15,0,적합,2020-08-19
20200819,개장중 8월 19일,송도3,0,0,적합,2020-08-19
20200915,폐장후 9월 15일,송도1,26,52,적합,2020-09-15
20200915,폐장후 9월 15일,송도2,5,52,적합,2020-09-15
20200915,폐장후 9월 15일,송도3,32,97,적합,2020-09-15
20210608,개장전 6월 8일,송도1,10,31,적합,2021-06-08
20210608,개장중 6월 8일,송도1,10,31,적합,2021-06-08
20210608,개장전 6월 8일,송도2,32,266,적합,2021-06-08
20210608,개장중 6월 8일,송도2,32,266,적합,2021-06-08
20210608,개장전 6월 8일,송도3,157,452,적합,2021-06-08
20210608,개장중 6월 8일,송도3,157,452,적합,2021-06-08
20210715,개장중 7월 15일,송도1,0,134,적합,2021-07-15
20210715,개장중 7월 15일,송도2,16,52,적합,2021-07-15
20210715,개장중 7월 15일,송도3,21,63,적합,2021-07-15
20210722,개장중 7월 22일,송도1,10,20,적합,2021-07-22
20210722,개장중 7월 22일,송도2,5,20,적합,2021-07-22
20210722,개장중 7월 22일,송도3,0,30,적합,2021-07-22
20210729,개장중 7월 29일,송도1,0,20,적합,2021-07-29
20210729,개장중 7월 29일,송도2,10,10,적합,2021-07-29
20210729,개장중 7월 29일,송도3,0,96,적합,2021-07-29
20210803,개장중 8월 3일,송도1,0,52,적합,2021-08-03
20210803,개장중 8월 3일,송도2,0,31,적합,2021-08-03
20210803,개장중 8월 3일,송도3,21,168,적합,2021-08-03
20210810,개장중 8월 10일,송도1,0,160,적합,2021-08-10
