date,wind_max,wind_dir
2016-02-22,10.8,275
2016-02-23,20.9,316
2016-02-24,20.4,348
2016-02-25,19.7,317
2016-02-26,20.1,258
2016-02-27,24.0,250
2016-02-28,31.0,241
2016-02-29,29.6,305
2016-03-01,19.4,303
2016-03-02,19.4,255
2016-03-03,15.8,245
2016-03-04,8.7,107
2016-03-05,26.2,177
2016-03-06,28.6,214
2016-03-07,16.1,56
2016-03-08,14.6,340
2016-03-09,23.6,14
2016-03-10,19.3,336
2016-03-11,18.5,335
2016-03-12,14.0,328
2016-03-13,7.4,22
2016-03-14,16.5,14
2016-03-15,13.7,262
2016-03-16,16.5,242
2016-03-17,14.0,238
2016-03-18,16.0,110
2016-03-19,20.0,26
2016-03-20,16.6,56
2016-03-21,12.1,68
2016-03-22,17.3,255
2016-03-23,18.4,42
2016-03-24,22.7,42
2016-03-25,12.4,78
2016-03-26,10.9,152
2016-03-27,14.8,292
2016-03-28,18.4,260
2016-03-29,28.0,232
2016-03-30,18.9,236
2016-03-31,9.2,206
2016-04-01,13.4,35
2016-04-02,11.9,215
2016-04-03,18.4,35
2016-04-04,20.9,43
2016-04-05,13.4,252
2016-04-06,17.5,71
2016-04-07,17.9,11
2016-04-08,15.0,245
2016-04-09,16.0,243
2016-04-10,19.3,42
2016-04-11,21.2,60
2016-04-12,13.4,104
2016-04-13,17.7,175
2016-04-14,11.1,309
2016-04-15,19.6,60
2016-04-16,39.7,165
2016-04-17,43.3,248
2016-04-18,18.6,249
2016-04-19,18.3,235
2016-04-20,13.6,179
2016-04-21,23.2,182
2016-04-22,16.3,247
2016-04-23,8.7,327
2016-04-24,16.1,38
2016-04-25,10.8,50
2016-04-26,17.6,46
2016-04-27,31.2,34
2016-04-28,28.2,20
2016-04-29,14.2,219
2016-04-30,23.7,228
2016-05-01,19.5,229
2016-05-02,19.4,207
2016-05-03,42.7,199
2016-05-04,30.8,245
2016-05-05,17.1,232
2016-05-06,21.3,198
2016-05-07,17.1,309
2016-05-08,14.4,58
2016-05-09,8.8,65
2016-05-10,22.9,28
2016-05-11,16.2,278
2016-05-12,14.5,229
2016-05-13,17.6,17
2016-05-14,18.6,53
2016-05-15,26.4,197
2016-05-16,27.1,267
2016-05-17,10.2,276
2016-05-18,7.4,80
2016-05-19,8.0,41
2016-05-20,13.7,53
2016-05-21,15.7,45
2016-05-22,15.6,48
2016-05-23,10.4,76
2016-05-24,21.5,211
2016-05-25,14.2,244
2016-05-26,12.9,246
2016-05-27,13.4,53
2016-05-28,10.0,231
2016-05-29,12.6,233
2016-05-30,11.8,270
2016-05-31,16.1,262
2016-06-01,20.5,59
2016-06-02,13.1,75
2016-06-03,16.1,227
2016-06-04,14.1,183
2016-06-05,26.5,44
2016-06-06,17.2,50
2016-06-07,8.3,155
2016-06-08,12.7,220
2016-06-09,9.2,83
2016-06-10,9.4,102
2016-06-11,13.9,219
2016-06-12,6.6,218
2016-06-13,11.1,67
2016-06-14,10.9,132
2016-06-15,22.3,202
2016-06-16,13.5,242
2016-06-17,18.8,240
2016-06-18,17.4,215
2016-06-19,20.2,220
2016-06-20,13.5,211
2016-06-21,11.0,57
2016-06-22,11.9,65
2016-06-23,11.4,88
2016-06-24,27.8,224
2016-06-25,22.3,245
2016-06-26,12.1,246
2016-06-27,13.1,215
2016-06-28,12.4,81
2016-06-29,9.7,102
2016-06-30,16.8,226
2016-07-01,30.2,204
2016-07-02,34.8,220
2016-07-03,9.9,227
2016-07-04,13.4,193
2016-07-05,25.4,201
2016-07-06,19.4,223
2016-07-07,11.0,150
2016-07-08,11.9,96
2016-07-09,10.8,160
2016-07-10,10.7,218
2016-07-11,14.8,170
2016-07-12,15.0,216
2016-07-13,15.3,243
2016-07-14,16.0,356
2016-07-15,14.9,69
2016-07-16,17.3,129
2016-07-17,17.7,233
2016-07-18,9.2,236
2016-07-19,16.2,83
2016-07-20,17.7,62
2016-07-21,14.9,73
2016-07-22,12.2,72
2016-07-23,7.6,120
2016-07-24,15.2,223
2016-07-25,11.6,238
2016-07-26,18.3,225
2016-07-27,21.9,224
2016-07-28,23.4,216
2016-07-29,17.4,221
2016-07-30,12.0,227
2016-07-31,8.0,308
2016-08-01,10.3,292
2016-08-02,7.4,359
2016-08-03,8.4,50
2016-08-04,12.7,75
2016-08-05,8.9,75
2016-08-06,8.9,82
2016-08-07,10.4,221
2016-08-08,6.9,16
2016-08-09,17.1,51
2016-08-10,10.9,145
2016-08-11,13.7,203
2016-08-12,12.4,223
2016-08-13,17.3,231
2016-08-14,17.6,236
2016-08-15,6.6,257
2016-08-16,17.2,61
2016-08-17,9.1,56
2016-08-18,15.7,62
2016-08-19,14.9,57
2016-08-20,18.4,45
2016-08-21,17.9,43
2016-08-22,16.3,40
2016-08-23,16.2,59
2016-08-24,18.5,55
2016-08-25,12.1,142
2016-08-26,29.5,36
2016-08-27,25.3,52
2016-08-28,23.0,23
2016-08-29,20.3,334
2016-08-30,22.6,271
2016-08-31,35.3,242
2016-09-01,23.9,211
2016-09-02,17.3,88
2016-09-03,15.2,133
2016-09-04,15.2,35
2016-09-05,12.1,40
2016-09-06,6.8,295
2016-09-07,6.9,352
2016-09-08,8.8,19
2016-09-09,10.0,98
2016-09-10,11.4,65
2016-09-11,13.6,46
2016-09-12,17.7,24
2016-09-13,14.7,41
2016-09-14,10.9,54
2016-09-15,9.0,64
2016-09-16,7.8,34
2016-09-17,23.5,43
2016-09-18,21.9,38
2016-09-19,30.8,41
2016-09-20,31.6,30
2016-09-21,19.9,37
2016-09-22,17.6,30
2016-09-23,12.8,38
2016-09-24,12.8,48
2016-09-25,8.8,41
2016-09-26,10.3,47
2016-09-27,8.6,38
2016-09-28,14.3,24
2016-09-29,24.0,49
2016-09-30,13.6,38
2016-10-01,12.0,46
2016-10-02,10.9,77
2016-10-03,18.7,227
2016-10-04,26.5,41
2016-10-05,43.5,36
2016-10-06,15.5,36
2016-10-07,19.9,74
2016-10-08,12.3,306
2016-10-09,20.8,356
2016-10-10,16.7,34
2016-10-11,11.9,6
2016-10-12,14.0,14
2016-10-13,7.0,56
2016-10-14,8.7,32
2016-10-15,15.0,51
2016-10-16,9.5,77
2016-10-17,10.5,301
2016-10-18,14.6,33
2016-10-19,9.8,352
2016-10-20,21.5,33
2016-10-21,23.4,60
2016-10-22,14.9,43
2016-10-23,31.1,43
2016-10-24,19.1,55
2016-10-25,28.7,229
2016-10-26,10.7,341
2016-10-27,25.1,50
2016-10-28,20.7,22
2016-10-29,19.6,11
2016-10-30,19.5,353
2016-10-31,8.0,332
2016-11-01,24.9,327
2016-11-02,18.5,323
2016-11-03,12.4,286
2016-11-04,13.6,262
2016-11-05,19.7,262
2016-11-06,27.9,49
2016-11-07,15.8,75
2016-11-08,19.4,319
2016-11-09,21.1,358
2016-11-10,15.9,65
2016-11-11,13.8,288
2016-11-12,12.4,280
2016-11-13,9.7,71
2016-11-14,11.5,146
2016-11-15,17.9,337
2016-11-16,10.2,327
2016-11-17,11.6,17
2016-11-18,18.2,60
2016-11-19,16.4,309
2016-11-20,14.0,13
2016-11-21,13.3,38
2016-11-22,20.6,332
2016-11-23,20.0,347
2016-11-24,27.0,326
2016-11-25,17.3,329
2016-11-26,11.4,345
2016-11-27,16.5,338
2016-11-28,15.1,318
2016-11-29,14.7,347
2016-11-30,11.5,7
2016-12-01,19.5,296
2016-12-02,15.3,317
2016-12-03,9.8,303
2016-12-04,12.9,281
2016-12-05,17.3,271
2016-12-06,22.8,320
2016-12-07,14.3,289
2016-12-08,11.5,276
2016-12-09,19.1,299
2016-12-10,18.4,334
2016-12-11,13.4,357
2016-12-12,10.7,346
2016-12-13,15.0,347
2016-12-14,17.7,345
2016-12-15,24.0,318
2016-12-16,21.4,313
2016-12-17,16.6,286
2016-12-18,11.6,292
2016-12-19,8.6,66
2016-12-20,13.4,18
2016-12-21,27.5,74
2016-12-22,36.6,236
2016-12-23,25.1,292
2016-12-24,18.8,332
2016-12-25,12.7,356
2016-12-26,18.8,356
2016-12-27,26.7,317
2016-12-28,18.7,337
2016-12-29,19.8,312
2016-12-30,16.0,321
2016-12-31,12.7,317
2017-01-01,12.8,300
2017-01-02,14.4,308
2017-01-03,15.4,315
2017-01-04,19.1,333
2017-01-05,25.4,39
2017-01-06,22.7,41
2017-01-07,15.7,15
2017-01-08,19.8,8
2017-01-09,28.5,314
2017-01-10,28.7,323
2017-01-11,30.0,316
2017-01-12,25.2,283
2017-01-13,25.0,292
2017-01-14,27.8,316
2017-01-15,26.4,326
2017-01-16,25.4,331
2017-01-17,10.9,332
2017-01-18,20.0,339
2017-01-19,13.7,318
2017-01-20,34.4,303
2017-01-21,24.3,310
2017-01-22,25.6,298
2017-01-23,24.4,316
2017-01-24,25.7,324
2017-01-25,16.9,326
2017-01-26,20.0,279
2017-01-27,26.3,284
2017-01-28,16.3,344
2017-01-29,10.2,6
2017-01-30,29.4,314
2017-01-31,19.3,316
2017-02-01,27.3,325
2017-02-02,24.9,312
2017-02-03,22.7,319
2017-02-04,12.4,293
2017-02-05,24.6,303
2017-02-06,25.2,311
2017-02-07,18.9,356
2017-02-08,19.4,315
2017-02-09,33.2,307
2017-02-10,38.4,304
2017-02-11,22.1,308
2017-02-12,22.4,324
2017-02-13,15.6,306
2017-02-14,15.6,332
