2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년,2023년,2024년,2025년,시군구,시도,해수욕장명
23278.0,24400.0,21280.0,26604.0,20149.0,35717.0,33307.0,14490.0,14155.0,16520.0,13499.0,고흥군,전남,남열해돋이
7747.0,6798.0,6687.0,4425.0,6139.0,4734.0,9063.0,5420.0,2235.0,2300.0,1644.0,고흥군,전남,대전
,2631.0,1400.0,1425.0,1793.0,1171.0,1438.0,2091.0,833.0,662.0,784.0,고흥군,전남,덕흥
8610.0,9656.0,7866.0,8658.0,11782.0,11605.0,8589.0,7913.0,6047.0,4770.0,4860.0,고흥군,전남,발포
5601.0,6978.0,4332.0,2919.0,4206.0,3726.0,4159.0,2527.0,1828.0,3045.0,3571.0,고흥군,전남,연소
998.0,2255.0,2177.0,1451.0,5541.0,3744.0,5291.0,3890.0,978.0,706.0,445.0,고흥군,전남,염포
3254.0,2460.0,2430.0,940.0,990.0,1215.0,1996.0,,1278.0,1530.0,1105.0,고흥군,전남,용동
12304.0,17711.0,13991.0,7910.0,9121.0,16572.0,17384.0,5455.0,5668.0,12419.0,16588.0,고흥군,전남,익금
5229.0,5329.0,4368.0,3708.0,3801.0,5082.0,5741.0,3463.0,2158.0,1496.0,1462.0,고흥군,전남,풍류
14486.0,14878.0,10377.0,11058.0,11092.0,5452.0,6510.0,2219.0,937.0,5642.0,5653.0,목포시,전남,외달도
8455.0,5184.0,4809.0,5096.0,6194.0,,,6921.0,3355.0,2936.0,1710.0,무안군,전남,톱머리
7474.0,7005.0,5055.0,4355.0,5191.0,,,6970.0,2106.0,2219.0,1018.0,무안군,전남,홀통
,,,,,,,,527.0,2129.0,2020.0,무안군,전남,낙지공원
91228.0,82600.0,87800.0,62900.0,74878.0,15206.0,33700.0,42390.0,38010.0,43210.0,35353.0,보성군,전남,율포솔밭
17867.0,4660.0,3180.0,3517.0,4294.0,3342.0,37744.0,33246.0,5174.0,3782.0,14180.0,신안군,전남,대광
434.0,394.0,790.0,800.0,360.0,314.0,,492.0,395.0,1000.0,,신안군,전남,돈목
1085.0,,,,,864.0,1160.0,735.0,958.0,1349.0,1638.0,신안군,전남,배낭기미
10706.0,4404.0,3090.0,5592.0,12430.0,22738.0,17348.0,,3535.0,14775.0,9597.0,신안군,전남,백길
2295.0,1166.0,865.0,2216.0,6759.0,17569.0,17118.0,15847.0,2590.0,3650.0,3119.0,신안군,전남,분계
,,,,,,,7515.0,5015.0,4479.0,3130.0,신안군,전남,설레미
1705.0,829.0,1450.0,2001.0,932.0,2288.0,2284.0,2753.0,1312.0,1327.0,689.0,신안군,전남,시목
,,,,222.0,104.0,,234.0,152.0,39.0,,신안군,전남,신도
27645.0,5665.0,7350.0,4514.0,7724.0,9514.0,11367.0,10444.0,5568.0,4689.0,,신안군,전남,우전
1248.0,1677.0,820.0,2311.0,2084.0,1003.0,878.0,2110.0,1929.0,811.0,,신안군,전남,원평
25700.0,5187.0,6220.0,5262.0,21641.0,13083.0,,10819.0,6515.0,4819.0,3126.0,신안군,전남,짱뚱어
1523.0,1508.0,1345.0,3443.0,8563.0,5952.0,5250.0,7886.0,,1720.0,1436.0,신안군,전남,추포
1979.0,2130.0,1985.0,2331.0,2106.0,2185.0,,1819.0,1896.0,2122.0,1249.0,신안군,전남,하트
,,,,,,,,,,,신안군,전남,홍도
,,,,,,1504.0,632.0,611.0,843.0,,신안군,전남,황성금리
1648.0,1740.0,1970.0,3266.0,3870.0,594.0,1063.0,1045.0,536.0,1372.0,941.0,여수시,전남,유림(거문도)
181400.0,120130.0,124370.0,65546.0,54992.0,27761.0,47322.0,32150.0,38860.0,32254.0,36426.0,여수시,전남,만성리
26590.0,40930.0,63650.0,40703.0,42830.0,11948.0,28368.0,24014.0,10911.0,37583.0,30756.0,여수시,전남,모사금
