date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day,munoseong_discharge_m3_day
2014-09-27,24522.0,22545.0,558
2014-09-28,25704.0,23415.0,538
2014-09-29,24633.0,19500.0,492
2014-09-30,24836.0,20017.0,507
2014-10-01,27699.0,19859.0,496
2014-10-02,26048.0,19500.0,445
2014-10-03,25131.0,20444.0,477
2014-10-04,21667.0,18545.0,466
2014-10-05,20291.0,19769.0,407
2014-10-06,20821.0,18691.0,462
2014-10-07,21187.0,21631.0,486
2014-10-08,20766.0,19921.0,504
2014-10-09,21637.0,19971.0,513
2014-10-10,20491.0,18814.0,468
2014-10-11,20851.0,19411.0,424
2014-10-12,22695.0,18102.0,372
2014-10-13,27177.0,23996.0,545
2014-10-14,23180.0,18471.0,684
2014-10-15,24571.0,18067.0,651
2014-10-16,22282.0,17839.0,537
2014-10-17,22382.0,17515.0,514
2014-10-18,27254.0,18306.0,521
2014-10-19,22174.0,17587.0,465
2014-10-20,27977.0,19811.0,604
2014-10-21,26897.0,21204.0,709
2014-10-22,28665.0,25718.0,984
2014-10-23,25595.0,21086.0,862
2014-10-24,25828.0,21262.0,566
2014-10-25,24989.0,18965.0,546
2014-10-26,24853.0,18521.0,516
2014-10-27,25988.0,19429.0,519
2014-10-28,25250.0,18991.0,496
2014-10-29,24762.0,19953.0,505
2014-10-30,24887.0,18394.0,476
2014-10-31,29965.0,19714.0,539
2014-11-01,28252.0,20135.0,589
2014-11-02,25924.0,18957.0,512
2014-11-03,25252.0,19452.0,529
2014-11-04,23857.0,19137.0,493
2014-11-05,23363.0,19534.0,505
2014-11-06,21936.0,18613.0,519
2014-11-07,22873.0,19340.0,536
2014-11-08,23631.0,18392.0,520
2014-11-09,24014.0,19470.0,446
2014-11-10,24924.0,19059.0,502
2014-11-11,23753.0,18406.0,493
2014-11-12,23363.0,19094.0,511
2014-11-13,23011.0,18006.0,502
2014-11-14,22509.0,18426.0,489
2014-11-15,21066.0,18796.0,491
2014-11-16,21309.0,18911.0,479
2014-11-17,20608.0,19407.0,498
2014-11-18,20047.0,17661.0,506
2014-11-19,20061.0,18962.0,457
2014-11-20,20073.0,17152.0,463
2014-11-21,19924.0,17202.0,482
2014-11-22,20781.0,19382.0,476
2014-11-23,24931.0,17213.0,467
2014-11-24,26459.0,20043.0,528
2014-11-25,26043.0,20162.0,747
2014-11-26,22472.0,19224.0,587
2014-11-27,22454.0,18083.0,461
2014-11-28,25406.0,18500.0,485
2014-11-29,23862.0,18971.0,489
2014-11-30,23068.0,17603.0,485
2014-12-01,22407.0,19750.0,471
2014-12-02,20055.0,18517.0,490
2014-12-03,20227.0,17655.0,489
2014-12-04,20271.0,17294.0,505
2014-12-05,20291.0,17355.0,515
2014-12-06,20705.0,18724.0,486
2014-12-07,21233.0,16999.0,487
2014-12-08,21846.0,18634.0,521
2014-12-09,22952.0,17218.0,480
2014-12-10,23072.0,17810.0,485
2014-12-11,22439.0,18335.0,471
2014-12-12,20019.0,17896.0,513
2014-12-13,19763.0,17058.0,506
2014-12-14,19190.0,18245.0,467
2014-12-15,19021.0,17258.0,505
2014-12-16,21154.0,17549.0,548
2014-12-17,19445.0,17048.0,458
2014-12-18,19306.0,16566.0,534
2014-12-19,19404.0,17493.0,621
2014-12-20,23085.0,17937.0,642
2014-12-21,21223.0,17591.0,575
2014-12-22,19615.0,18370.0,574
2014-12-23,19386.0,17446.0,505
2014-12-24,19321.0,16990.0,513
2014-12-25,19798.0,18168.0,527
2014-12-26,20047.0,16847.0,563
2014-12-27,22629.0,17492.0,555
2014-12-28,21747.0,16704.0,533
2014-12-29,20826.0,16490.0,524
2014-12-30,19574.0,17282.0,483
2014-12-31,19827.0,16151.0,526
2015-01-01,18959.0,15631.0,584
2015-01-02,19760.0,17264.0,570
2015-01-03,19078.0,16958.0,536
2015-01-04,19739.0,17140.0,560
2015-01-05,21679.0,17332.0,590
2015-01-06,21944.0,18983.0,600
2015-01-07,21331.0,18053.0,533
2015-01-08,20505.0,17039.0,484
2015-01-09,20724.0,17700.0,492
2015-01-10,21942.0,17354.0,494
2015-01-11,22221.0,16773.0,506
2015-01-12,20535.0,17238.0,547
2015-01-13,19974.0,16279.0,511
2015-01-14,20387.0,15975.0,461
2015-01-15,21837.0,18025.0,501
2015-01-16,20349.0,16914.0,503
2015-01-17,20550.0,17298.0,520
2015-01-18,19531.0,16931.0,518
2015-01-19,20621.0,16694.0,523
2015-01-20,20300.0,17070.0,466
2015-01-21,20718.0,20696.0,456
2015-01-22,22399.0,18070.0,538
2015-01-23,19720.0,18592.0,533
2015-01-24,20275.0,18625.0,516
2015-01-25,18909.0,17857.0,530
2015-01-26,21445.0,18442.0,568
2015-01-27,17951.0,16899.0,456
2015-01-28,19536.0,17145.0,433
2015-01-29,19874.0,17384.0,468
2015-01-30,19140.0,17239.0,456
2015-01-31,18718.0,17686.0,485
2015-02-01,18412.0,17295.0,533
2015-02-02,18826.0,17782.0,552
2015-02-03,18643.0,17753.0,417
2015-02-04,18618.0,16445.0,397
2015-02-05,18307.0,17671.0,401
2015-02-06,18424.0,19099.0,425
2015-02-07,17621.0,18155.0,488
2015-02-08,17773.0,18367.0,546
2015-02-09,17966.0,17358.0,513
2015-02-10,18785.0,17203.0,432
2015-02-11,19096.0,18351.0,418
2015-02-12,18701.0,17575.0,487
2015-02-13,16711.0,18273.0,498
2015-02-14,16584.0,18582.0,541
2015-02-15,16214.0,19471.0,485
2015-02-16,16702.0,19777.0,543
2015-02-17,16878.0,19965.0,503
2015-02-18,17817.0,17700.0,599
2015-02-19,17790.0,14408.0,629
2015-02-20,18597.0,14860.0,455
2015-02-21,18900.0,17872.0,555
2015-02-22,19627.0,21470.0,632
2015-02-23,19144.0,16700.0,562
2015-02-24,21446.0,17460.0,439
2015-02-25,21824.0,17182.0,423
2015-02-26,20050.0,17717.0,480
2015-02-27,20989.0,17979.0,488
2015-02-28,20113.0,17686.0,435
2015-03-01,21286.0,18339.0,548
2015-03-02,20125.0,18421.0,541
2015-03-03,21212.0,17744.0,484
2015-03-04,22529.0,17830.0,474
2015-03-05,20471.0,18177.0,503
2015-03-06,21713.0,18438.0,472
2015-03-07,21185.0,16549.0,503
2015-03-08,22290.0,18556.0,531
2015-03-09,20510.0,18598.0,497
2015-03-10,19397.0,16124.0,441
2015-03-11,20632.0,18373.0,417
2015-03-12,18834.0,19295.0,478
2015-03-13,18877.0,17886.0,474
2015-03-14,21108.0,18394.0,499
2015-03-15,19684.0,17047.0,523
2015-03-16,19615.0,19022.0,490
2015-03-17,20535.0,17206.0,477
2015-03-18,22905.0,23909.0,823
2015-03-19,25279.0,23722.0,743
2015-03-20,27687.0,20556.0,529
2015-03-21,24506.0,21093.0,547
2015-03-22,25166.0,20484.0,612
2015-03-23,23528.0,19718.0,533
2015-03-24,23712.0,18665.0,453
2015-03-25,24005.0,18867.0,491
2015-03-26,22924.0,18942.0,484
2015-03-27,22392.0,18990.0,478
2015-03-28,22549.0,18098.0,533
2015-03-29,22943.0,18154.0,552
2015-03-30,23532.0,18727.0,524
2015-03-31,24358.0,18149.0,459
2015-04-01,28502.0,17531.0,443
2015-04-02,27030.0,18788.0,522
2015-04-03,26150.0,24826.0,756
2015-04-04,24276.0,23520.0,623
2015-04-05,25281.0,25313.0,939
2015-04-06,23328.0,23226.0,616
2015-04-07,24411.0,19461.0,545
2015-04-08,27881.0,19001.0,518
2015-04-09,31242.0,19226.0,524
2015-04-10,31266.0,18387.0,514
