date,gijang_discharge_m3_day,jeonggwan_discharge_m3_day
2015-02-06,18424.0,19099
2015-02-07,17621.0,18155
2015-02-08,17773.0,18367
2015-02-09,17966.0,17358
2015-02-10,18785.0,17203
2015-02-11,19096.0,18351
2015-02-12,18701.0,17575
2015-02-13,16711.0,18273
2015-02-14,16584.0,18582
2015-02-15,16214.0,19471
2015-02-16,16702.0,19777
2015-02-17,16878.0,19965
2015-02-18,17817.0,17700
2015-02-19,17790.0,14408
2015-02-20,18597.0,14860
2015-02-21,18900.0,17872
2015-02-22,19627.0,21470
2015-02-23,19144.0,16700
2015-02-24,21446.0,17460
2015-02-25,21824.0,17182
2015-02-26,20050.0,17717
2015-02-27,20989.0,17979
2015-02-28,20113.0,17686
2015-03-01,21286.0,18339
2015-03-02,20125.0,18421
2015-03-03,21212.0,17744
2015-03-04,22529.0,17830
2015-03-05,20471.0,18177
2015-03-06,21713.0,18438
2015-03-07,21185.0,16549
2015-03-08,22290.0,18556
2015-03-09,20510.0,18598
2015-03-10,19397.0,16124
2015-03-11,20632.0,18373
2015-03-12,18834.0,19295
2015-03-13,18877.0,17886
2015-03-14,21108.0,18394
2015-03-15,19684.0,17047
2015-03-16,19615.0,19022
2015-03-17,20535.0,17206
2015-03-18,22905.0,23909
2015-03-19,25279.0,23722
2015-03-20,27687.0,20556
2015-03-21,24506.0,21093
2015-03-22,25166.0,20484
2015-03-23,23528.0,19718
2015-03-24,23712.0,18665
2015-03-25,24005.0,18867
2015-03-26,22924.0,18942
2015-03-27,22392.0,18990
2015-03-28,22549.0,18098
2015-03-29,22943.0,18154
2015-03-30,23532.0,18727
2015-03-31,24358.0,18149
2015-04-01,28502.0,17531
2015-04-02,27030.0,18788
2015-04-03,26150.0,24826
2015-04-04,24276.0,23520
2015-04-05,25281.0,25313
2015-04-06,23328.0,23226
2015-04-07,24411.0,19461
2015-04-08,27881.0,19001
2015-04-09,31242.0,19226
2015-04-10,31266.0,18387
2015-04-11,28699.0,18457
2015-04-12,28497.0,18160
2015-04-13,26763.0,20813
2015-04-14,26587.0,22294
2015-04-15,26547.0,19857
2015-04-16,23624.0,19064
2015-04-17,27640.0,18243
2015-04-18,28936.0,19467
2015-04-19,27608.0,24965
2015-04-20,27256.0,26978
2015-04-21,24367.0,23510
2015-04-22,25037.0,19420
2015-04-23,23095.0,20568
2015-04-24,20938.0,19500
2015-04-25,20197.0,18631
2015-04-26,21146.0,19226
2015-04-27,23905.0,19022
2015-04-28,23983.0,18665
2015-04-29,24699.0,19350
2015-04-30,23309.0,17462
2015-05-01,22319.0,19257
2015-05-02,21947.0,17753
2015-05-03,19326.0,22740
2015-05-04,21662.0,20929
2015-05-05,23118.0,17838
2015-05-06,23119.0,19428
2015-05-07,23024.0,18108
2015-05-08,24665.0,18818
2015-05-09,25366.0,18547
2015-05-10,26297.0,18534
2015-05-11,25791.0,20975
2015-05-12,28340.0,33265
2015-05-13,25983.0,21214
2015-05-14,26982.0,19793
2015-05-15,26298.0,20245
2015-05-16,24955.0,19238
2015-05-17,28622.0,19524
2015-05-18,27500.0,21748
2015-05-19,27815.0,21226
2015-05-20,27270.0,19718
2015-05-21,28315.0,18298
2015-05-22,24070.0,18530
2015-05-23,24134.0,19476
2015-05-24,24935.0,17552
2015-05-25,24643.0,18258
2015-05-26,24280.0,19160
2015-05-27,24066.0,18910
2015-05-28,26126.0,18869
2015-05-29,24023.0,18706
2015-05-30,22351.0,19004
2015-05-31,23362.0,19272
2015-06-01,21946.0,19628
2015-06-02,22518.0,18097
2015-06-03,22585.0,18913
2015-06-04,21808.0,19289
2015-06-05,24058.0,18412
