date,ecoli,any_exceed,precipitation_mm,temperature_2m,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,month,정관사업단_vol,정관사업단_vol_1d_lag,정관사업단_vol_3d_sum_lag
2016-10-04,220.0,0,0.3,22.483333333333334,0.0,8.5,55.5,24.1875,22.483333333333334,10.0,25079.0,24723.0,77986.0
2017-05-15,109.0,0,0.0,17.879166666666666,0.0,21.3,21.9,18.195833333333333,17.879166666666666,5.0,24251.0,23393.0,71273.0
2017-07-07,275.0,0,5.1,24.895833333333332,1.9,15.200000000000001,27.699999999999996,24.741666666666664,24.895833333333332,7.0,23461.0,23832.0,75281.0
2017-07-13,195.0,0,0.0,26.537499999999998,0.0,21.400000000000006,23.8,27.46666666666667,26.537499999999998,7.0,23788.0,25175.0,71342.0
2017-07-19,74.0,0,0.2,27.525000000000002,6.4,7.900000000000004,10.000000000000002,26.8,27.525000000000002,7.0,24117.0,23526.0,70750.0
2017-07-27,20.0,0,0.0,24.791666666666668,0.0,20.1,20.400000000000002,25.099999999999998,24.791666666666668,7.0,23157.0,21610.0,69116.0
2017-08-02,185.0,0,0.0,25.912499999999998,0.0,5.0000000000000036,5.0000000000000036,26.295833333333334,25.912499999999998,8.0,22610.0,23188.0,68958.0
2017-08-11,75.0,0,2.3000000000000003,26.412499999999998,5.9,31.200000000000003,37.1,27.041666666666668,26.412499999999998,8.0,23133.0,23642.0,72000.0
2017-08-17,30.0,0,6.7,25.704166666666666,6.8,118.7,121.7,25.791666666666668,25.704166666666666,8.0,23391.0,24329.0,73339.0
2017-08-23,228.0,0,1.1,28.116666666666664,12.7,28.6,32.0,26.6125,28.116666666666664,8.0,25117.0,26464.0,74354.0
2017-09-20,132.0,0,0.0,22.554166666666664,0.1,8.0,8.4,22.645833333333332,22.554166666666664,9.0,22338.0,23050.0,71597.0
2018-06-04,74.0,0,0.0,21.766666666666666,0.0,0.0,1.7000000000000035,21.754166666666666,21.766666666666666,6.0,23568.0,23388.0,70414.0
2019-06-17,480.0,0,1.0,20.275000000000002,1.8,23.300000000000015,23.300000000000015,19.1125,20.275000000000002,6.0,24484.0,26270.0,75441.0
2019-07-04,414.0,0,0.0,23.804166666666664,0.0,1.0000000000000284,84.4,22.383333333333336,23.804166666666664,7.0,26018.0,26945.0,82262.0
2019-07-16,884.0,1,0.1,22.866666666666664,1.5999999999999999,3.5000000000000284,13.3,22.695833333333336,22.866666666666664,7.0,23843.0,24730.0,73919.0
2019-07-30,131.0,0,2.5,26.991666666666664,1.1,21.100000000000026,22.800000000000026,26.65833333333333,26.991666666666664,7.0,25322.0,25184.0,79388.0
2019-08-13,20.0,0,0.0,28.379166666666666,0.1,0.20000000000002843,1.6000000000000285,28.145833333333332,28.379166666666666,8.0,25868.0,26276.0,79452.0
2019-08-20,20.0,0,3.0,25.454166666666666,2.9,3.100000000000028,18.100000000000026,25.933333333333334,25.454166666666666,8.0,25011.0,25418.0,77740.0
2019-09-25,1396.0,1,0.0,19.829166666666666,0.0,181.3,227.3,18.808333333333334,19.829166666666666,9.0,26901.0,30676.0,101662.0
2020-06-17,74.0,0,0.0,21.1875,0.0,33.800000000000054,185.7,22.316666666666666,21.1875,6.0,24639.0,27185.0,82414.0
2020-07-09,327.0,0,9.399999999999999,22.287499999999998,0.4,4.6000000000000565,13.700000000000028,23.72083333333333,22.287499999999998,7.0,26839.0,26770.0,82111.0
2020-07-17,309.0,0,0.0,20.724999999999998,0.30000000000000004,9.200000000000044,159.30000000000004,20.375,20.724999999999998,7.0,27989.0,29393.0,93142.0
2020-07-21,1455.0,1,15.2,25.15833333333333,5.8,13.800000000000043,14.100000000000028,25.224999999999998,25.15833333333333,7.0,27575.0,27394.0,80884.0
2020-08-04,906.0,1,1.1,26.766666666666666,0.5,3.400000000000043,16.900000000000013,26.8,26.766666666666666,8.0,28638.0,29399.0,88347.0
2020-08-14,125.0,0,0.2,27.9375,0.0,15.10000000000005,53.30000000000002,27.820833333333336,27.9375,8.0,29887.0,32240.0,104247.0
2020-08-19,1169.0,1,0.0,28.791666666666668,0.0,0.0,0.20000000000001422,27.974999999999998,28.791666666666668,8.0,26948.0,27249.0,84203.0
2020-09-15,62.0,0,0.7,22.145833333333332,0.2,13.100000000000042,21.500000000000014,21.59166666666667,22.145833333333332,9.0,28658.0,27845.0,83114.0
