date,examinLcDetail,distance_to_outfall,ecoli,any_exceed,precipitation_mm,temperature_2m,wind_speed_m_s,precip_1d_lag,precip_3d_sum_lag,precip_5d_sum_lag,temp_1d_lag,temp_daily,wind_speed_1d_lag,month,is_summer,정관사업단_vol,정관사업단_vol_1d_lag,정관사업단_vol_3d_sum_lag,log_ecoli
2016-10-04,,1.0,220.0,0,0.3,22.483333333333334,17.691666666666666,0.0,8.5,55.5,24.1875,22.483333333333334,9.858333333333333,10.0,0.0,25079.0,24723.0,77986.0,5.3981627015177525
2016-08-22,,1.0,110.0,0,0.0,27.483333333333334,12.025,0.0,0.0,0.0,27.633333333333336,27.483333333333334,14.875,8.0,1.0,22659.0,21915.0,67793.0,4.709530201312334
2016-08-22,,1.0,74.0,0,0.0,27.483333333333334,12.025,0.0,0.0,0.0,27.633333333333336,27.483333333333334,14.875,8.0,1.0,22659.0,21915.0,67793.0,4.31748811353631
2016-08-22,,1.0,10.0,0,0.0,27.483333333333334,12.025,0.0,0.0,0.0,27.633333333333336,27.483333333333334,14.875,8.0,1.0,22659.0,21915.0,67793.0,2.3978952727983707
2016-08-17,,1.0,31.0,0,0.0,27.78333333333333,6.891666666666667,32.5,36.300000000000004,36.9,27.041666666666668,27.78333333333333,8.104166666666666,8.0,1.0,22148.0,23258.0,68607.0,3.4657359027997265
2016-08-17,,1.0,320.0,0,0.0,27.78333333333333,6.891666666666667,32.5,36.300000000000004,36.9,27.041666666666668,27.78333333333333,8.104166666666666,8.0,1.0,22148.0,23258.0,68607.0,5.771441123130016
2016-08-17,,1.0,220.0,0,0.0,27.78333333333333,6.891666666666667,32.5,36.300000000000004,36.9,27.041666666666668,27.78333333333333,8.104166666666666,8.0,1.0,22148.0,23258.0,68607.0,5.3981627015177525
2016-08-09,,1.0,200.0,0,0.1,27.745833333333334,11.595833333333333,1.0,1.0000000000000036,1.4,29.229166666666668,27.745833333333334,4.333333333333333,8.0,1.0,21844.0,23464.0,70160.0,5.303304908059076
2016-08-09,,1.0,160.0,0,0.1,27.745833333333334,11.595833333333333,1.0,1.0000000000000036,1.4,29.229166666666668,27.745833333333334,4.333333333333333,8.0,1.0,21844.0,23464.0,70160.0,5.081404364984463
2016-08-09,,1.0,210.0,0,0.1,27.745833333333334,11.595833333333333,1.0,1.0000000000000036,1.4,29.229166666666668,27.745833333333334,4.333333333333333,8.0,1.0,21844.0,23464.0,70160.0,5.351858133476067
2016-07-26,,1.0,170.0,0,0.7,27.354166666666668,11.737499999999999,4.2,4.900000000000001,4.9,27.025000000000002,27.354166666666668,7.091666666666666,7.0,1.0,24414.0,22871.0,69578.0,5.14166355650266
2016-07-26,,1.0,470.0,0,0.7,27.354166666666668,11.737499999999999,4.2,4.900000000000001,4.9,27.025000000000002,27.354166666666668,7.091666666666666,7.0,1.0,24414.0,22871.0,69578.0,6.154858094016418
2016-07-26,,1.0,62.0,0,0.7,27.354166666666668,11.737499999999999,4.2,4.900000000000001,4.9,27.025000000000002,27.354166666666668,7.091666666666666,7.0,1.0,24414.0,22871.0,69578.0,4.143134726391533
2016-07-19,,1.0,41.0,0,0.0,24.287499999999998,9.25,0.0,6.000000000000001,7.300000000000001,24.6875,24.287499999999998,5.370833333333334,7.0,1.0,24388.0,24352.0,74934.0,3.7376696182833684
2016-07-19,,1.0,20.0,0,0.0,24.287499999999998,9.25,0.0,6.000000000000001,7.300000000000001,24.6875,24.287499999999998,5.370833333333334,7.0,1.0,24388.0,24352.0,74934.0,3.044522437723423
2016-07-19,,1.0,73.0,0,0.0,24.287499999999998,9.25,0.0,6.000000000000001,7.300000000000001,24.6875,24.287499999999998,5.370833333333334,7.0,1.0,24388.0,24352.0,74934.0,4.30406509320417
