date,examinLcDetail,ecoli_max,enterococcus_max,ecoli_exceed,enterococcus_exceed,any_exceed,precip_daily,temp_daily,wind_max,wind_dir,solar_radiation_sum,dongbu_discharge_m3_day,haeundae_sewage_discharge_m3_day,송정_정점명,송정_정점코드,송정_유속(cm/s),송정_유향(deg),송정_수온(℃),송정_염분(PSU),송정_유의파고(m),송정_유의파주기(sec),송정_최대파고(m),송정_최대파주기(sec),송정_풍속(m/s),송정_풍향(deg),송정_기온(℃),송정_기압(hPa),송정_시정(m),year,month,is_weekend,precip_1d_lag,precip_2d_sum_lag,precip_3d_sum_lag,precip_5d_sum_lag,CSO_Flag_Rain,dry_days_count,temp_1d_lag,wind_max_1d_lag,solar_radiation_1d_lag,dongbu_discharge_1d_lag,dongbu_discharge_3d_mean,haeundae_sewage_discharge_1d_lag,haeundae_sewage_discharge_3d_mean,송정_유속(cm/s)_1d_lag,송정_수온(℃)_1d_lag,송정_유의파고(m)_1d_lag,송정_유의파주기(sec)_1d_lag,송정_최대파고(m)_1d_lag,송정_최대파주기(sec)_1d_lag,송정_풍속(m/s)_1d_lag,송정_풍향(deg)_1d_lag
2016-05-12,A,10.0,1.0,False,False,0,0.0,16.2,14.5,229,27.99,,38498,,,,,,,,,,,,,,,,2016,5,0,0.0,20.1,21.200000000000003,21.200000000000003,0,2,14.6,16.2,18.44,,,38861.0,38940.666666666664,,,,,,,,
2016-05-12,B,1.0,1.0,False,False,0,0.0,16.2,14.5,229,27.99,,38498,,,,,,,,,,,,,,,,2016,5,0,0.0,20.1,21.200000000000003,21.200000000000003,0,2,14.6,16.2,18.44,,,38861.0,38940.666666666664,,,,,,,,
2016-05-12,C,1.0,5.0,False,False,0,0.0,16.2,14.5,229,27.99,,38498,,,,,,,,,,,,,,,,2016,5,0,0.0,20.1,21.200000000000003,21.200000000000003,0,2,14.6,16.2,18.44,,,38861.0,38940.666666666664,,,,,,,,
2016-05-12,D,1.0,1.0,False,False,0,0.0,16.2,14.5,229,27.99,,38498,,,,,,,,,,,,,,,,2016,5,0,0.0,20.1,21.200000000000003,21.200000000000003,0,2,14.6,16.2,18.44,,,38861.0,38940.666666666664,,,,,,,,
2016-05-12,E,1.0,1.0,False,False,0,0.0,16.2,14.5,229,27.99,,38498,,,,,,,,,,,,,,,,2016,5,0,0.0,20.1,21.200000000000003,21.200000000000003,0,2,14.6,16.2,18.44,,,38861.0,38940.666666666664,,,,,,,,
2016-06-07,A,1.0,1.0,False,False,0,0.8,20.1,8.3,155,19.01,,39487,,,,,,,,,,,,,,,,2016,6,0,1.1,1.1,7.5,7.5,0,0,19.3,17.2,7.29,,,38974.0,39822.666666666664,,,,,,,,
2016-06-07,B,1.0,5.0,False,False,0,0.8,20.1,8.3,155,19.01,,39487,,,,,,,,,,,,,,,,2016,6,0,1.1,1.1,7.5,7.5,0,0,19.3,17.2,7.29,,,38974.0,39822.666666666664,,,,,,,,
2016-06-07,C,10.0,10.0,False,False,0,0.8,20.1,8.3,155,19.01,,39487,,,,,,,,,,,,,,,,2016,6,0,1.1,1.1,7.5,7.5,0,0,19.3,17.2,7.29,,,38974.0,39822.666666666664,,,,,,,,
2016-06-07,D,1.0,5.0,False,False,0,0.8,20.1,8.3,155,19.01,,39487,,,,,,,,,,,,,,,,2016,6,0,1.1,1.1,7.5,7.5,0,0,19.3,17.2,7.29,,,38974.0,39822.666666666664,,,,,,,,
2016-06-07,E,31.0,21.0,False,False,0,0.8,20.1,8.3,155,19.01,,39487,,,,,,,,,,,,,,,,2016,6,0,1.1,1.1,7.5,7.5,0,0,19.3,17.2,7.29,,,38974.0,39822.666666666664,,,,,,,,
