ctprvnNm,gugunNm,beachKoreanNm,ctprvnCode,gugunCode,stnpntCode,examinOdr,examinLcSeCode,coliDetectCn,entrcccsDetectCn,examinYear,examinDe,examinKnd,examinKndKor,stbltAt,examinLcDetail,la,lo,tempbtn,examinReExamCnt
부산,해운대구,송정,04,05,001,5,E,85,<1,2015,2015-07-20,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,해운대,04,05,002,5,A,20,5,2015,2015-07-28,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,5,B,41,10,2015,2015-07-28,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,5,C,41,<1,2015,2015-07-28,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,5,D,20,5,2015,2015-07-28,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,5,E,74,<1,2015,2015-07-28,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,송정,04,05,001,4,A,820,<1,2015,2015-07-16,2,개장중,부적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,4,B,920,5,2015,2015-07-16,2,개장중,부적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,4,C,1400,5,2015,2015-07-16,2,개장중,부적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,4,D,1100,15,2015,2015-07-16,2,개장중,부적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,4,E,840,5,2015,2015-07-16,2,개장중,부적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,해운대,04,05,002,4,A,10,<1,2015,2015-07-16,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,4,B,<1,10,2015,2015-07-16,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,4,C,10,10,2015,2015-07-16,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,4,D,10,5,2015,2015-07-16,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,4,E,10,<1,2015,2015-07-16,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,송정,04,05,001,3,A,210,<1,2015,2015-07-02,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,3,B,20,5,2015,2015-07-02,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,3,C,20,<1,2015,2015-07-02,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,3,D,41,<1,2015,2015-07-02,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,3,E,41,<1,2015,2015-07-02,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,해운대,04,05,002,3,A,10,<1,2015,2015-07-02,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,3,B,<1,5,2015,2015-07-02,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,3,C,10,10,2015,2015-07-02,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,3,D,<1,<1,2015,2015-07-02,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,해운대,04,05,002,3,E,<1,5,2015,2015-07-02,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
부산,해운대구,송정,04,05,001,2,A,10,5,2015,2015-06-16,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,2,B,불검출,불검출,2015,2015-06-16,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,2,C,불검출,5,2015,2015-06-16,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,2,D,20,10,2015,2015-06-16,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,송정,04,05,001,2,E,10,10,2015,2015-06-16,2,개장중,적합,,35.1787000000,129.1995420000,상세보기,0
부산,해운대구,해운대,04,05,002,2,A,52,16,2015,2015-06-16,2,개장중,적합,,35.1587500000,129.1616290000,상세보기,0
