관리구군명,관리기관명,방문객수(명),방문일,연번,연도
부산광역시 해운대구,관광시설관리사업소,43432,2020-06-28,28,2020
부산광역시 해운대구,관광시설관리사업소,33187,2020-06-29,29,2020
부산광역시 해운대구,관광시설관리사업소,21039,2020-06-30,30,2020
부산광역시 해운대구,관광시설관리사업소,23774,2020-07-01,31,2020
부산광역시 해운대구,관광시설관리사업소,26027,2020-07-02,32,2020
부산광역시 해운대구,관광시설관리사업소,26569,2020-07-03,33,2020
부산광역시 해운대구,관광시설관리사업소,28460,2020-07-04,34,2020
부산광역시 해운대구,관광시설관리사업소,68704,2020-07-05,35,2020
부산광역시 해운대구,관광시설관리사업소,32172,2020-07-06,36,2020
부산광역시 해운대구,관광시설관리사업소,23105,2020-07-07,37,2020
부산광역시 해운대구,관광시설관리사업소,25490,2020-07-08,38,2020
부산광역시 해운대구,관광시설관리사업소,26381,2020-07-09,39,2020
부산광역시 해운대구,관광시설관리사업소,22237,2020-07-10,40,2020
부산광역시 해운대구,관광시설관리사업소,68686,2020-07-11,41,2020
부산광역시 해운대구,관광시설관리사업소,82559,2020-07-12,42,2020
부산광역시 해운대구,관광시설관리사업소,61175,2020-07-13,43,2020
부산광역시 해운대구,관광시설관리사업소,55765,2020-07-14,44,2020
부산광역시 해운대구,관광시설관리사업소,60162,2020-07-15,45,2020
부산광역시 해운대구,관광시설관리사업소,64857,2020-07-16,46,2020
부산광역시 해운대구,관광시설관리사업소,70333,2020-07-17,47,2020
부산광역시 해운대구,관광시설관리사업소,79645,2020-07-18,48,2020
부산광역시 해운대구,관광시설관리사업소,89298,2020-07-19,49,2020
부산광역시 해운대구,관광시설관리사업소,64635,2020-07-20,50,2020
부산광역시 해운대구,관광시설관리사업소,62001,2020-07-21,51,2020
부산광역시 해운대구,관광시설관리사업소,63199,2020-07-22,52,2020
부산광역시 해운대구,관광시설관리사업소,60563,2020-07-23,53,2020
부산광역시 해운대구,관광시설관리사업소,60656,2020-07-24,54,2020
부산광역시 해운대구,관광시설관리사업소,72155,2020-07-25,55,2020
부산광역시 해운대구,관광시설관리사업소,81363,2020-07-26,56,2020
부산광역시 해운대구,관광시설관리사업소,75673,2020-07-27,57,2020
부산광역시 해운대구,관광시설관리사업소,58619,2020-07-28,58,2020
부산광역시 해운대구,관광시설관리사업소,63216,2020-07-29,59,2020
부산광역시 해운대구,관광시설관리사업소,67051,2020-07-30,60,2020
부산광역시 해운대구,관광시설관리사업소,73573,2020-07-31,61,2020
