date,examinLcDetail,ecoli_max,enterococcus_max
2021-09-29,그린나래호텔,1.0,1.0
2021-09-29,부산아쿠아리움,1.0,1.0
2021-09-29,엘시티더샵,1.0,1.0
2021-09-29,조선비치호텔,1.0,1.0
2021-09-29,파라다이스호텔,1.0,1.0
2022-05-19,부산아쿠아리움,10.0,1.0
2022-05-19,파라다이스호텔,10.0,10.0
2022-06-07,부산아쿠아리움,41.0,1.0
2022-06-07,조선비치호텔,20.0,1.0
2022-06-07,파라다이스호텔,10.0,1.0
2022-06-07,해운대 그린나래호텔,31.0,5.0
2022-06-30,부산아쿠아리움,63.0,1.0
2022-06-30,엘시티 더 샵,1.0,1.0
2022-06-30,조선비치호텔,20.0,1.0
2022-06-30,파라다이스 호텔,20.0,1.0
2022-06-30,해운대 그린나래호텔,1.0,1.0
2022-07-07,그린나래호텔,63.0,5.0
2022-07-07,부산 아쿠아리움,31.0,5.0
2022-07-07,조선비치호텔,74.0,26.0
2022-07-07,파라다이스 호텔,62.0,10.0
2022-07-20,그린나래호텔,63.0,1.0
2022-07-20,부산아쿠아리움,63.0,1.0
2022-07-20,엘시티 더 샵,98.0,1.0
2022-07-20,조선비치호텔,75.0,1.0
2022-07-20,파라다이스호텔,109.0,1.0
2022-07-26,그린나래호텔,1.0,5.0
2022-07-26,부산아쿠아리움,1.0,1.0
2022-07-26,엘시티 더 샵,1.0,5.0
2022-07-26,조선비치호텔,1.0,1.0
2022-07-26,파라다이스호텔,1.0,1.0
2022-08-03,그린나래호텔,20.0,1.0
2022-08-03,부산아쿠아리움,10.0,1.0
2022-08-03,엘시티 더 샵,31.0,1.0
2022-08-03,조선비치호텔,31.0,1.0
2022-08-03,파라다이스호텔,52.0,1.0
2022-08-09,그린나래호텔,1.0,1.0
2022-08-09,부산아쿠아리움,10.0,1.0
2022-08-09,엘시티 더 샵,1.0,1.0
2022-08-09,조선비치호텔,1.0,1.0
2022-08-09,파라다이스호텔,1.0,1.0
2022-08-16,그린나래 호텔,52.0,5.0
2022-08-16,부산아쿠아리움,10.0,1.0
2022-08-16,조선비치 호텔,10.0,5.0
2022-08-16,파라다이스 호텔,10.0,1.0
2022-08-30,그린나래호텔,1.0,1.0
2022-08-30,부산아쿠아리움,1.0,1.0
